ids,sentences
4.1.1.1,maitreya uvāca
4.1.2.1,ākūtiṁ rucaye prādād
4.1.2.2,api bhrātṛmatīṁ nṛpaḥ
4.1.2.3,putrikā-dharmam āśritya
4.1.2.4,śatarūpānumoditaḥ
4.1.3.1,prajāpatiḥ sa bhagavān
4.1.3.2,rucis tasyām ajījanat
4.1.3.3,mithunaṁ brahma-varcasvī
4.1.3.4,parameṇa samādhinā
4.1.5.1,āninye sva-gṛhaṁ putryāḥ
4.1.5.2,putraṁ vitata-rociṣam
4.1.5.3,svāyambhuvo mudā yukto
4.1.5.4,rucir jagrāha dakṣiṇām
4.1.6.1,tāṁ kāmayānāṁ bhagavān
4.1.6.2,uvāha yajuṣāṁ patiḥ
4.1.6.3,tuṣṭāyāṁ toṣam āpanno
4.1.6.4,’janayad dvādaśātmajān
4.1.7.1,toṣaḥ pratoṣaḥ santoṣo
4.1.7.2,bhadraḥ śāntir iḍaspatiḥ
4.1.7.3,idhmaḥ kavir vibhuḥ svahnaḥ
4.1.7.4,sudevo rocano dvi-ṣaṭ
4.1.8.1,tuṣitā nāma te devā
4.1.8.2,āsan svāyambhuvāntare
4.1.8.3,marīci-miśrā ṛṣayo
4.1.8.4,yajñaḥ sura-gaṇeśvaraḥ
4.1.9.1,priyavratottānapādau
4.1.9.2,manu-putrau mahaujasau
4.1.9.3,tat-putra-pautra-naptṝṇām
4.1.9.4,anuvṛttaṁ tad-antaram
4.1.10.1,devahūtim adāt tāta
4.1.10.2,kardamāyātmajāṁ manuḥ
4.1.10.3,tat-sambandhi śruta-prāyaṁ
4.1.10.4,bhavatā gadato mama
4.1.11.1,dakṣāya brahma-putrāya
4.1.11.2,prasūtiṁ bhagavān manuḥ
4.1.11.3,prāyacchad yat-kṛtaḥ sargas
4.1.11.4,tri-lokyāṁ vitato mahān
4.1.12.1,yāḥ kardama-sutāḥ proktā
4.1.12.2,nava brahmarṣi-patnayaḥ
4.1.12.3,tāsāṁ prasūti-prasavaṁ
4.1.12.4,procyamānaṁ nibodha me
4.1.13.1,patnī marīces tu kalā
4.1.13.2,suṣuve kardamātmajā
4.1.13.3,kaśyapaṁ pūrṇimānaṁ ca
4.1.13.4,yayor āpūritaṁ jagat
4.1.14.1,pūrṇimāsūta virajaṁ
4.1.14.2,viśvagaṁ ca parantapa
4.1.14.3,devakulyāṁ hareḥ pāda-
4.1.14.4,śaucād yābhūt sarid divaḥ
4.1.15.1,atreḥ patny anasūyā trīñ
4.1.15.2,jajñe suyaśasaḥ sutān
4.1.15.3,dattaṁ durvāsasaṁ somam
4.1.15.4,ātmeśa-brahma-sambhavān
4.1.16.1,vidura uvāca
4.1.17.1,maitreya uvāca
4.1.18.1,tasmin prasūna-stabaka-
4.1.18.2,palāśāśoka-kānane
4.1.18.3,vārbhiḥ sravadbhir udghuṣṭe
4.1.18.4,nirvindhyāyāḥ samantataḥ
4.1.19.1,prāṇāyāmena saṁyamya
4.1.19.2,mano varṣa-śataṁ muniḥ
4.1.19.3,atiṣṭhad eka-pādena
4.1.19.4,nirdvandvo ’nila-bhojanaḥ
4.1.20.1,śaraṇaṁ taṁ prapadye ’haṁ
4.1.20.2,ya eva jagad-īśvaraḥ
4.1.20.3,prajām ātma-samāṁ mahyaṁ
4.1.20.4,prayacchatv iti cintayan
4.1.21.1,tapyamānaṁ tri-bhuvanaṁ
4.1.21.2,prāṇāyāmaidhasāgninā
4.1.21.3,nirgatena muner mūrdhnaḥ
4.1.21.4,samīkṣya prabhavas trayaḥ
4.1.22.1,apsaro-muni-gandharva-
4.1.22.2,siddha-vidyādharoragaiḥ
4.1.22.3,vitāyamāna-yaśasas
4.1.22.4,tad-āśrama-padaṁ yayuḥ
4.1.23.1,tat-prādurbhāva-saṁyoga-
4.1.23.2,vidyotita-manā muniḥ
4.1.23.3,uttiṣṭhann eka-pādena
4.1.23.4,dadarśa vibudharṣabhān
4.1.24.1,praṇamya daṇḍavad bhūmāv
4.1.24.2,upatasthe ’rhaṇāñjaliḥ
4.1.24.3,vṛṣa-haṁsa-suparṇa-sthān
4.1.24.4,svaiḥ svaiś cihnaiś ca cihnitān
4.1.25.1,kṛpāvalokena hasad-
4.1.25.2,vadanenopalambhitān
4.1.25.3,tad-rociṣā pratihate
4.1.25.4,nimīlya munir akṣiṇī
4.1.26-27.1,cetas tat-pravaṇaṁ yuñjann
4.1.26-27.2,astāvīt saṁhatāñjaliḥ
4.1.26-27.3,ślakṣṇayā sūktayā vācā
4.1.26-27.4,sarva-loka-garīyasaḥ
4.1.28.1,eko mayeha bhagavān vividha-pradhānaiś
4.1.28.2,cittī-kṛtaḥ prajananāya kathaṁ nu yūyam
4.1.28.3,atrāgatās tanu-bhṛtāṁ manaso ’pi dūrād
4.1.28.4,brūta prasīdata mahān iha vismayo me
4.1.29.1,maitreya uvāca
4.1.30.1,devā ūcuḥ
4.1.31.1,athāsmad-aṁśa-bhūtās te
4.1.31.2,ātmajā loka-viśrutāḥ
4.1.31.3,bhavitāro ’ṅga bhadraṁ te
4.1.31.4,visrapsyanti ca te yaśaḥ
4.1.32.1,evaṁ kāma-varaṁ dattvā
4.1.32.2,pratijagmuḥ sureśvarāḥ
4.1.32.3,sabhājitās tayoḥ samyag
4.1.32.4,dampatyor miṣatos tataḥ
4.1.33.1,somo ’bhūd brahmaṇo ’ṁśena
4.1.33.2,datto viṣṇos tu yogavit
4.1.33.3,durvāsāḥ śaṅkarasyāṁśo
4.1.33.4,nibodhāṅgirasaḥ prajāḥ
4.1.34.1,śraddhā tv aṅgirasaḥ patnī
4.1.34.2,catasro ’sūta kanyakāḥ
4.1.34.3,sinīvālī kuhū rākā
4.1.34.4,caturthy anumatis tathā
4.1.35.1,tat-putrāv aparāv āstāṁ
4.1.35.2,khyātau svārociṣe ’ntare
4.1.35.3,utathyo bhagavān sākṣād
4.1.35.4,brahmiṣṭhaś ca bṛhaspatiḥ
4.1.36.1,pulastyo ’janayat patnyām
4.1.36.2,agastyaṁ ca havirbhuvi
4.1.36.3,so ’nya-janmani dahrāgnir
4.1.36.4,viśravāś ca mahā-tapāḥ
4.1.37.1,tasya yakṣa-patir devaḥ
4.1.37.2,kuberas tv iḍaviḍā-sutaḥ
4.1.37.3,rāvaṇaḥ kumbhakarṇaś ca
4.1.37.4,tathānyasyāṁ vibhīṣaṇaḥ
4.1.38.1,pulahasya gatir bhāryā
4.1.38.2,trīn asūta satī sutān
4.1.38.3,karmaśreṣṭhaṁ varīyāṁsaṁ
4.1.38.4,sahiṣṇuṁ ca mahā-mate
4.1.39.1,krator api kriyā bhāryā
4.1.39.2,vālakhilyān asūyata
4.1.39.3,ṛṣīn ṣaṣṭi-sahasrāṇi
4.1.39.4,jvalato brahma-tejasā
4.1.40.1,ūrjāyāṁ jajñire putrā
4.1.40.2,vasiṣṭhasya parantapa
4.1.40.3,citraketu-pradhānās te
4.1.40.4,sapta brahmarṣayo ’malāḥ
4.1.41.1,citraketuḥ surociś ca
4.1.41.2,virajā mitra eva ca
4.1.41.3,ulbaṇo vasubhṛdyāno
4.1.41.4,dyumān śakty-ādayo ’pare
4.1.42.1,cittis tv atharvaṇaḥ patnī
4.1.42.2,lebhe putraṁ dhṛta-vratam
4.1.42.3,dadhyañcam aśvaśirasaṁ
4.1.42.4,bhṛgor vaṁśaṁ nibodha me
4.1.43.1,bhṛguḥ khyātyāṁ mahā-bhāgaḥ
4.1.43.2,patnyāṁ putrān ajījanat
4.1.43.3,dhātāraṁ ca vidhātāraṁ
4.1.43.4,śriyaṁ ca bhagavat-parām
4.1.44.1,āyatiṁ niyatiṁ caiva
4.1.44.2,sute merus tayor adāt
4.1.44.3,tābhyāṁ tayor abhavatāṁ
4.1.44.4,mṛkaṇḍaḥ prāṇa eva ca
4.1.45.1,mārkaṇḍeyo mṛkaṇḍasya
4.1.45.2,prāṇād vedaśirā muniḥ
4.1.45.3,kaviś ca bhārgavo yasya
4.1.45.4,bhagavān uśanā sutaḥ
4.1.46-47.1,ta ete munayaḥ kṣattar
4.1.46-47.2,lokān sargair abhāvayan
4.1.46-47.3,eṣa kardama-dauhitra-
4.1.46-47.4,santānaḥ kathitas tava
4.1.48.1,tasyāṁ sasarja duhitṝḥ
4.1.48.2,ṣoḍaśāmala-locanāḥ
4.1.48.3,trayodaśādād dharmāya
4.1.48.4,tathaikām agnaye vibhuḥ
4.1.49-52.1,pitṛbhya ekāṁ yuktebhyo
