ids,sentences
7.1.1.1,śrī-rājovāca
7.1.2.1,na hy asyārthaḥ sura-gaṇaiḥ
7.1.2.2,sākṣān niḥśreyasātmanaḥ
7.1.2.3,naivāsurebhyo vidveṣo
7.1.2.4,nodvegaś cāguṇasya hi
7.1.3.1,iti naḥ sumahā-bhāga
7.1.3.2,nārāyaṇa-guṇān prati
7.1.3.3,saṁśayaḥ sumahāñ jātas
7.1.3.4,tad bhavāṁś chettum arhati
7.1.4-5.1,śrī-ṛṣir uvāca
7.1.6.1,nirguṇo ’pi hy ajo ’vyakto
7.1.6.2,bhagavān prakṛteḥ paraḥ
7.1.6.3,sva-māyā-guṇam āviśya
7.1.6.4,bādhya-bādhakatāṁ gataḥ
7.1.7.1,sattvaṁ rajas tama iti
7.1.7.2,prakṛter nātmano guṇāḥ
7.1.7.3,na teṣāṁ yugapad rājan
7.1.7.4,hrāsa ullāsa eva vā
7.1.8.1,jaya-kāle tu sattvasya
7.1.8.2,devarṣīn rajaso ’surān
7.1.8.3,tamaso yakṣa-rakṣāṁsi
7.1.8.4,tat-kālānuguṇo ’bhajat
7.1.9.1,jyotir-ādir ivābhāti
7.1.9.2,saṅghātān na vivicyate
7.1.9.3,vidanty ātmānam ātma-sthaṁ
7.1.9.4,mathitvā kavayo ’ntataḥ
7.1.10.1,yadā sisṛkṣuḥ pura ātmanaḥ paro
7.1.10.2,rajaḥ sṛjaty eṣa pṛthak sva-māyayā
7.1.10.3,sattvaṁ vicitrāsu riraṁsur īśvaraḥ
7.1.10.4,śayiṣyamāṇas tama īrayaty asau
7.1.11.1,kālaṁ carantaṁ sṛjatīśa āśrayaṁ
7.1.11.2,pradhāna-pumbhyāṁ nara-deva satya-kṛt
7.1.12.1,ya eṣa rājann api kāla īśitā
7.1.12.2,sattvaṁ surānīkam ivaidhayaty ataḥ
7.1.12.3,tat-pratyanīkān asurān sura-priyo
7.1.12.4,rajas-tamaskān pramiṇoty uruśravāḥ
7.1.13.1,atraivodāhṛtaḥ pūrvam
7.1.13.2,itihāsaḥ surarṣiṇā
7.1.13.3,prītyā mahā-kratau rājan
7.1.13.4,pṛcchate ’jāta-śatrave
7.1.14-15.1,dṛṣṭvā mahādbhutaṁ rājā
7.1.14-15.2,rājasūye mahā-kratau
7.1.14-15.3,vāsudeve bhagavati
7.1.14-15.4,sāyujyaṁ cedibhū-bhujaḥ
7.1.16.1,śrī-yudhiṣṭhira uvāca
7.1.17.1,etad veditum icchāmaḥ
7.1.17.2,sarva eva vayaṁ mune
7.1.17.3,bhagavan-nindayā veno
7.1.17.4,dvijais tamasi pātitaḥ
7.1.18.1,damaghoṣa-sutaḥ pāpa
7.1.18.2,ārabhya kala-bhāṣaṇāt
7.1.18.3,sampraty amarṣī govinde
7.1.18.4,dantavakraś ca durmatiḥ
7.1.19.1,śapator asakṛd viṣṇuṁ
7.1.19.2,yad brahma param avyayam
7.1.19.3,śvitro na jāto jihvāyāṁ
7.1.19.4,nāndhaṁ viviśatus tamaḥ
7.1.20.1,kathaṁ tasmin bhagavati
7.1.20.2,duravagrāhya-dhāmani
7.1.20.3,paśyatāṁ sarva-lokānāṁ
7.1.20.4,layam īyatur añjasā
7.1.21.1,etad bhrāmyati me buddhir
7.1.21.2,dīpārcir iva vāyunā
7.1.21.3,brūhy etad adbhutatamaṁ
7.1.21.4,bhagavān hy atra kāraṇam
7.1.22.1,śrī-bādarāyaṇir uvāca
7.1.23.1,śrī-nārada uvāca
7.1.24.1,hiṁsā tad-abhimānena
7.1.24.2,daṇḍa-pāruṣyayor yathā
7.1.24.3,vaiṣamyam iha bhūtānāṁ
7.1.24.4,mamāham iti pārthiva
7.1.25.1,yan-nibaddho ’bhimāno ’yaṁ
7.1.25.2,tad-vadhāt prāṇināṁ vadhaḥ
7.1.25.3,tathā na yasya kaivalyād
7.1.25.4,abhimāno ’khilātmanaḥ
7.1.25.5,parasya dama-kartur hi
7.1.25.6,hiṁsā kenāsya kalpyate
7.1.26.1,tasmād vairānubandhena
7.1.26.2,nirvaireṇa bhayena vā
7.1.26.3,snehāt kāmena vā yuñjyāt
7.1.26.4,kathañcin nekṣate pṛthak
7.1.27.1,yathā vairānubandhena
7.1.27.2,martyas tan-mayatām iyāt
7.1.27.3,na tathā bhakti-yogena
7.1.27.4,iti me niścitā matiḥ
7.1.28-29.1,kīṭaḥ peśaskṛtā ruddhaḥ
7.1.28-29.2,kuḍyāyāṁ tam anusmaran
7.1.28-29.3,saṁrambha-bhaya-yogena
7.1.28-29.4,vindate tat-svarūpatām
7.1.30.1,kāmād dveṣād bhayāt snehād
7.1.30.2,yathā bhaktyeśvare manaḥ
7.1.30.3,āveśya tad-aghaṁ hitvā
7.1.30.4,bahavas tad-gatiṁ gatāḥ
7.1.31.1,gopyaḥ kāmād bhayāt kaṁso
7.1.31.2,dveṣāc caidyādayo nṛpāḥ
7.1.31.3,sambandhād vṛṣṇayaḥ snehād
7.1.31.4,yūyaṁ bhaktyā vayaṁ vibho
7.1.32.1,katamo ’pi na venaḥ syāt
7.1.32.2,pañcānāṁ puruṣaṁ prati
7.1.32.3,tasmāt kenāpy upāyena
7.1.32.4,manaḥ kṛṣṇe niveśayet
7.1.33.1,mātṛ-ṣvasreyo vaś caidyo
7.1.33.2,dantavakraś ca pāṇḍava
7.1.33.3,pārṣada-pravarau viṣṇor
7.1.33.4,vipra-śāpāt pada-cyutau
7.1.34.1,śrī-yudhiṣṭhira uvāca
7.1.35.1,dehendriyāsu-hīnānāṁ
7.1.35.2,vaikuṇṭha-pura-vāsinām
7.1.35.3,deha-sambandha-sambaddham
7.1.35.4,etad ākhyātum arhasi
7.1.36.1,śrī-nārada uvāca
7.1.37.1,pañca-ṣaḍḍhāyanārbhābhāḥ
7.1.37.2,pūrveṣām api pūrvajāḥ
7.1.37.3,dig-vāsasaḥ śiśūn matvā
7.1.37.4,dvāḥ-sthau tān pratyaṣedhatām
7.1.38.1,aśapan kupitā evaṁ
7.1.38.2,yuvāṁ vāsaṁ na cārhathaḥ
7.1.38.3,rajas-tamobhyāṁ rahite
7.1.38.4,pāda-mūle madhudviṣaḥ
7.1.38.5,pāpiṣṭhām āsurīṁ yoniṁ
7.1.38.6,bāliśau yātam āśv ataḥ
7.1.39.1,evaṁ śaptau sva-bhavanāt
7.1.39.2,patantau tau kṛpālubhiḥ
7.1.39.3,proktau punar janmabhir vāṁ
7.1.39.4,tribhir lokāya kalpatām
7.1.40.1,jajñāte tau diteḥ putrau
7.1.40.2,daitya-dānava-vanditau
7.1.40.3,hiraṇyakaśipur jyeṣṭho
7.1.40.4,hiraṇyākṣo ’nujas tataḥ
7.1.41.1,hato hiraṇyakaśipur
7.1.41.2,hariṇā siṁha-rūpiṇā
7.1.41.3,hiraṇyākṣo dharoddhāre
7.1.41.4,bibhratā śaukaraṁ vapuḥ
7.1.42.1,hiraṇyakaśipuḥ putraṁ
7.1.42.2,prahlādaṁ keśava-priyam
7.1.42.3,jighāṁsur akaron nānā
7.1.42.4,yātanā mṛtyu-hetave
7.1.43.1,taṁ sarva-bhūtātma-bhūtaṁ
7.1.43.2,praśāntaṁ sama-darśanam
7.1.43.3,bhagavat-tejasā spṛṣṭaṁ
7.1.43.4,nāśaknod dhantum udyamaiḥ
7.1.44.1,tatas tau rākṣasau jātau
7.1.44.2,keśinyāṁ viśravaḥ-sutau
7.1.44.3,rāvaṇaḥ kumbhakarṇaś ca
7.1.44.4,sarva-lokopatāpanau
7.1.45.1,tatrāpi rāghavo bhūtvā
7.1.45.2,nyahanac chāpa-muktaye
7.1.45.3,rāma-vīryaṁ śroṣyasi tvaṁ
7.1.45.4,mārkaṇḍeya-mukhāt prabho
7.1.46.1,tāv atra kṣatriyau jātau
7.1.46.2,mātṛ-ṣvasrātmajau tava
7.1.46.3,adhunā śāpa-nirmuktau
7.1.46.4,kṛṣṇa-cakra-hatāṁhasau
7.1.47.1,vairānubandha-tīvreṇa
7.1.47.2,dhyānenācyuta-sātmatām
7.1.47.3,nītau punar hareḥ pārśvaṁ
7.1.47.4,jagmatur viṣṇu-pārṣadau
7.1.48.1,śrī-yudhiṣṭhira uvāca
7.2.1.1,śrī-nārada uvāca
7.2.2.1,āha cedaṁ ruṣā pūrṇaḥ
7.2.2.2,sandaṣṭa-daśana-cchadaḥ
7.2.2.3,kopojjvaladbhyāṁ cakṣurbhyāṁ
7.2.2.4,nirīkṣan dhūmram ambaram
7.2.3.1,karāla-daṁṣṭrogra-dṛṣṭyā
7.2.3.2,duṣprekṣya-bhrukuṭī-mukhaḥ
7.2.3.3,śūlam udyamya sadasi
7.2.3.4,dānavān idam abravīt
7.2.4-5.1,bho bho dānava-daiteyā
7.2.4-5.2,dvimūrdhaṁs tryakṣa śambara
7.2.4-5.3,śatabāho hayagrīva
7.2.4-5.4,namuce pāka ilvala
7.2.6.1,sapatnair ghātitaḥ kṣudrair
7.2.6.2,bhrātā me dayitaḥ suhṛt
7.2.6.3,pārṣṇi-grāheṇa hariṇā
7.2.6.4,samenāpy upadhāvanaiḥ
