ids,sentences
3.1.1.1,śrī-śuka uvāca
3.1.2.1,yad vā ayaṁ mantra-kṛd vo
3.1.2.2,bhagavān akhileśvaraḥ
3.1.2.3,pauravendra-gṛhaṁ hitvā
3.1.2.4,praviveśātmasāt kṛtam
3.1.4.1,na hy alpārthodayas tasya
3.1.4.2,vidurasyāmalātmanaḥ
3.1.4.3,tasmin varīyasi praśnaḥ
3.1.4.4,sādhu-vādopabṛṁhitaḥ
3.1.5.1,sūta uvāca
3.1.6.1,śrī-śuka uvāca
3.1.7.1,yadā sabhāyāṁ kuru-deva-devyāḥ
3.1.7.2,keśābhimarśaṁ suta-karma garhyam
3.1.7.3,na vārayām āsa nṛpaḥ snuṣāyāḥ
3.1.7.4,svāsrair harantyāḥ kuca-kuṅkumāni
3.1.8.1,dyūte tv adharmeṇa jitasya sādhoḥ
3.1.8.2,satyāvalambasya vanaṁ gatasya
3.1.8.3,na yācato ’dāt samayena dāyaṁ
3.1.8.4,tamo-juṣāṇo yad ajāta-śatroḥ
3.1.9.1,yadā ca pārtha-prahitaḥ sabhāyāṁ
3.1.9.2,jagad-gurur yāni jagāda kṛṣṇaḥ
3.1.9.3,na tāni puṁsām amṛtāyanāni
3.1.9.4,rājoru mene kṣata-puṇya-leśaḥ
3.1.10.1,yadopahūto bhavanaṁ praviṣṭo
3.1.10.2,mantrāya pṛṣṭaḥ kila pūrvajena
3.1.10.3,athāha tan mantra-dṛśāṁ varīyān
3.1.10.4,yan mantriṇo vaidurikaṁ vadanti
3.1.11.1,ajāta-śatroḥ pratiyaccha dāyaṁ
3.1.11.2,titikṣato durviṣahaṁ tavāgaḥ
3.1.11.3,sahānujo yatra vṛkodarāhiḥ
3.1.11.4,śvasan ruṣā yat tvam alaṁ bibheṣi
3.1.12.1,pārthāṁs tu devo bhagavān mukundo
3.1.12.2,gṛhītavān sakṣiti-deva-devaḥ
3.1.12.3,āste sva-puryāṁ yadu-deva-devo
3.1.12.4,vinirjitāśeṣa-nṛdeva-devaḥ
3.1.13.1,sa eṣa doṣaḥ puruṣa-dviḍ āste
3.1.13.2,gṛhān praviṣṭo yam apatya-matyā
3.1.13.3,puṣṇāsi kṛṣṇād vimukho gata-śrīs
3.1.13.4,tyajāśv aśaivaṁ kula-kauśalāya
3.1.14.1,ity ūcivāṁs tatra suyodhanena
3.1.14.2,pravṛddha-kopa-sphuritādhareṇa
3.1.14.3,asat-kṛtaḥ sat-spṛhaṇīya-śīlaḥ
3.1.14.4,kṣattā sakarṇānuja-saubalena
3.1.15.1,ka enam atropajuhāva jihmaṁ
3.1.15.2,dāsyāḥ sutaṁ yad-balinaiva puṣṭaḥ
3.1.15.3,tasmin pratīpaḥ parakṛtya āste
3.1.15.4,nirvāsyatām āśu purāc chvasānaḥ
3.1.16.1,svayaṁ dhanur dvāri nidhāya māyāṁ
3.1.16.2,bhrātuḥ puro marmasu tāḍito ’pi
3.1.16.3,sa ittham atyulbaṇa-karṇa-bāṇair
3.1.16.4,gata-vyatho ’yād uru mānayānaḥ
3.1.17.1,sa nirgataḥ kaurava-puṇya-labdho
3.1.17.2,gajāhvayāt tīrtha-padaḥ padāni
3.1.17.3,anvākramat puṇya-cikīrṣayorvyām
3.1.17.4,adhiṣṭhito yāni sahasra-mūrtiḥ
3.1.18.1,pureṣu puṇyopavanādri-kuñjeṣv
3.1.18.2,apaṅka-toyeṣu sarit-saraḥsu
3.1.18.3,ananta-liṅgaiḥ samalaṅkṛteṣu
3.1.18.4,cacāra tīrthāyataneṣv ananyaḥ
3.1.19.1,gāṁ paryaṭan medhya-vivikta-vṛttiḥ
3.1.19.2,sadāpluto ’dhaḥ śayano ’vadhūtaḥ
3.1.19.3,alakṣitaḥ svair avadhūta-veṣo
3.1.19.4,vratāni cere hari-toṣaṇāni
3.1.20.1,itthaṁ vrajan bhāratam eva varṣaṁ
3.1.20.2,kālena yāvad gatavān prabhāsam
3.1.20.3,tāvac chaśāsa kṣitim eka cakrām
3.1.20.4,ekātapatrām ajitena pārthaḥ
3.1.21.1,tatrātha śuśrāva suhṛd-vinaṣṭiṁ
3.1.21.2,vanaṁ yathā veṇuja-vahni-saṁśrayam
3.1.21.3,saṁspardhayā dagdham athānuśocan
3.1.21.4,sarasvatīṁ pratyag iyāya tūṣṇīm
3.1.22.1,tasyāṁ tritasyośanaso manoś ca
3.1.22.2,pṛthor athāgner asitasya vāyoḥ
