ids,sentences
9.1.1.1,śrī-rājovāca
9.1.2-3.1,yo ’sau satyavrato nāma
9.1.2-3.2,rājarṣir draviḍeśvaraḥ
9.1.2-3.3,jñānaṁ yo ’tīta-kalpānte
9.1.2-3.4,lebhe puruṣa-sevayā
9.1.4.1,teṣāṁ vaṁśaṁ pṛthag brahman
9.1.4.2,vaṁśānucaritāni ca
9.1.4.3,kīrtayasva mahā-bhāga
9.1.4.4,nityaṁ śuśrūṣatāṁ hi naḥ
9.1.5.1,ye bhūtā ye bhaviṣyāś ca
9.1.5.2,bhavanty adyatanāś ca ye
9.1.5.3,teṣāṁ naḥ puṇya-kīrtīnāṁ
9.1.5.4,sarveṣāṁ vada vikramān
9.1.6.1,śrī-sūta uvāca
9.1.7.1,śrī-śuka uvāca
9.1.8.1,parāvareṣāṁ bhūtānām
9.1.8.2,ātmā yaḥ puruṣaḥ paraḥ
9.1.8.3,sa evāsīd idaṁ viśvaṁ
9.1.8.4,kalpānte ’nyan na kiñcana
9.1.9.1,tasya nābheḥ samabhavat
9.1.9.2,padma-koṣo hiraṇmayaḥ
9.1.9.3,tasmiñ jajñe mahārāja
9.1.9.4,svayambhūś catur-ānanaḥ
9.1.10.1,marīcir manasas tasya
9.1.10.2,jajñe tasyāpi kaśyapaḥ
9.1.10.3,dākṣāyaṇyāṁ tato ’dityāṁ
9.1.10.4,vivasvān abhavat sutaḥ
9.1.11-12.1,tato manuḥ śrāddhadevaḥ
9.1.11-12.2,saṁjñāyām āsa bhārata
9.1.11-12.3,śraddhāyāṁ janayām āsa
9.1.11-12.4,daśa putrān sa ātmavān
9.1.13.1,aprajasya manoḥ pūrvaṁ
9.1.13.2,vasiṣṭho bhagavān kila
9.1.13.3,mitrā-varuṇayor iṣṭiṁ
9.1.13.4,prajārtham akarod vibhuḥ
9.1.14.1,tatra śraddhā manoḥ patnī
9.1.14.2,hotāraṁ samayācata
9.1.14.3,duhitrartham upāgamya
9.1.14.4,praṇipatya payovratā
9.1.15.1,preṣito ’dhvaryuṇā hotā
9.1.15.2,vyacarat tat samāhitaḥ
9.1.15.3,gṛhīte haviṣi vācā
9.1.15.4,vaṣaṭ-kāraṁ gṛṇan dvijaḥ
