ids,sentences
11.1.1.1,śrī-śuka uvāca
11.1.2.1,ye kopitāḥ su-bahu pāṇḍu-sutāḥ sapatnair
11.1.2.2,durdyūta-helana-kaca-grahaṇādibhis tān
11.1.2.3,kṛtvā nimittam itaretarataḥ sametān
11.1.2.4,hatvā nṛpān niraharat kṣiti-bhāram īśaḥ
11.1.3.1,bhū-bhāra-rāja-pṛtanā yadubhir nirasya
11.1.3.2,guptaiḥ sva-bāhubhir acintayad aprameyaḥ
11.1.3.3,manye ’vaner nanu gato ’py agataṁ hi bhāraṁ
11.1.3.4,yad yādavaṁ kulam aho aviṣahyam āste
11.1.4.1,naivānyataḥ paribhavo ’sya bhavet kathañcin
11.1.4.2,mat-saṁśrayasya vibhavonnahanasya nityam
11.1.4.3,antaḥ kaliṁ yadu-kulasya vidhāya veṇu-
11.1.4.4,stambasya vahnim iva śāntim upaimi dhāma
11.1.5.1,evaṁ vyavasito rājan
11.1.5.2,satya-saṅkalpa īśvaraḥ
11.1.5.3,śāpa-vyājena viprāṇāṁ
11.1.5.4,sañjahre sva-kulaṁ vibhuḥ
11.1.6-7.1,sva-mūrtyā loka-lāvaṇya-
11.1.6-7.2,nirmuktyā locanaṁ nṛṇām
11.1.6-7.3,gīrbhis tāḥ smaratāṁ cittaṁ
11.1.6-7.4,padais tān īkṣatāṁ kriyāḥ
11.1.8.1,śrī-rājovāca
11.1.9.1,yan-nimittaḥ sa vai śāpo
11.1.9.2,yādṛśo dvija-sattama
11.1.9.3,katham ekātmanāṁ bheda
11.1.9.4,etat sarvaṁ vadasva me
11.1.10.1,śrī-bādarāyaṇir uvāca
11.1.11-12.1,karmāni puṇya-nivahāni su-maṅgalāni
11.1.11-12.2,gāyaj-jagat-kali-malāpaharāṇi kṛtvā
11.1.11-12.3,kālātmanā nivasatā yadu-deva-gehe
11.1.11-12.4,piṇḍārakaṁ samagaman munayo nisṛṣṭāḥ
11.1.13-15.1,krīḍantas tān upavrajya
11.1.13-15.2,kumārā yadu-nandanāḥ
