ids,sentences
8.1.1.1,śrī-rājovāca
8.1.2.1,manvantare harer janma
8.1.2.2,karmāṇi ca mahīyasaḥ
8.1.2.3,gṛṇanti kavayo brahmaṁs
8.1.2.4,tāni no vada śṛṇvatām
8.1.3.1,yad yasminn antare brahman
8.1.3.2,bhagavān viśva-bhāvanaḥ
8.1.3.3,kṛtavān kurute kartā
8.1.3.4,hy atīte ’nāgate ’dya vā
8.1.4.1,śrī-ṛṣir uvāca
8.1.5.1,ākūtyāṁ devahūtyāṁ ca
8.1.5.2,duhitros tasya vai manoḥ
8.1.5.3,dharma-jñānopadeśārthaṁ
8.1.5.4,bhagavān putratāṁ gataḥ
8.1.6.1,kṛtaṁ purā bhagavataḥ
8.1.6.2,kapilasyānuvarṇitam
8.1.6.3,ākhyāsye bhagavān yajño
8.1.6.4,yac cakāra kurūdvaha
8.1.7.1,viraktaḥ kāma-bhogeṣu
8.1.7.2,śatarūpā-patiḥ prabhuḥ
8.1.7.3,visṛjya rājyaṁ tapase
8.1.7.4,sabhāryo vanam āviśat
8.1.8.1,sunandāyāṁ varṣa-śataṁ
8.1.8.2,padaikena bhuvaṁ spṛśan
8.1.8.3,tapyamānas tapo ghoram
8.1.8.4,idam anvāha bhārata
8.1.9.1,śrī-manur uvāca
8.1.10.1,ātmāvāsyam idaṁ viśvaṁ
8.1.10.2,yat kiñcij jagatyāṁ jagat
8.1.10.3,tena tyaktena bhuñjīthā
8.1.10.4,mā gṛdhaḥ kasya svid dhanam
8.1.11.1,yaṁ paśyati na paśyantaṁ
8.1.11.2,cakṣur yasya na riṣyati
8.1.11.3,taṁ bhūta-nilayaṁ devaṁ
8.1.11.4,suparṇam upadhāvata
8.1.12.1,na yasyādy-antau madhyaṁ ca
8.1.12.2,svaḥ paro nāntaraṁ bahiḥ
8.1.12.3,viśvasyāmūni yad yasmād
8.1.12.4,viśvaṁ ca tad ṛtaṁ mahat
8.1.13.1,sa viśva-kāyaḥ puru-hūta-īśaḥ
8.1.13.2,satyaḥ svayaṁ-jyotir ajaḥ purāṇaḥ
8.1.13.3,dhatte ’sya janmādy-ajayātma-śaktyā
8.1.13.4,tāṁ vidyayodasya nirīha āste
8.1.14.1,athāgre ṛṣayaḥ karmāṇ-
8.1.14.2,īhante ’karma-hetave
8.1.14.3,īhamāno hi puruṣaḥ
8.1.14.4,prāyo ’nīhāṁ prapadyate
8.1.15.1,īhate bhagavān īśo
8.1.15.2,na hi tatra visajjate
8.1.15.3,ātma-lābhena pūrṇārtho
8.1.15.4,nāvasīdanti ye ’nu tam
8.1.16.1,tam īhamānaṁ nirahaṅkṛtaṁ budhaṁ
8.1.16.2,nirāśiṣaṁ pūrṇam ananya-coditam
8.1.16.3,nṝñ śikṣayantaṁ nija-vartma-saṁsthitaṁ
8.1.16.4,prabhuṁ prapadye ’khila-dharma-bhāvanam
8.1.17.1,śrī-śuka uvāca
8.1.18.1,tāṁs tathāvasitān vīkṣya
8.1.18.2,yajñaḥ sarva-gato hariḥ
8.1.18.3,yāmaiḥ parivṛto devair
8.1.18.4,hatvāśāsat tri-viṣṭapam
8.1.19.1,svārociṣo dvitīyas tu
8.1.19.2,manur agneḥ suto ’bhavat
8.1.19.3,dyumat-suṣeṇa-rociṣmat
8.1.19.4,pramukhās tasya cātmajāḥ
8.1.20.1,tatrendro rocanas tv āsīd
8.1.20.2,devāś ca tuṣitādayaḥ
8.1.20.3,ūrja-stambhādayaḥ sapta
8.1.20.4,ṛṣayo brahma-vādinaḥ
8.1.21.1,ṛṣes tu vedaśirasas
8.1.21.2,tuṣitā nāma patny abhūt
8.1.21.3,tasyāṁ jajñe tato devo
8.1.21.4,vibhur ity abhiviśrutaḥ
8.1.22.1,aṣṭāśīti-sahasrāṇi
8.1.22.2,munayo ye dhṛta-vratāḥ
8.1.22.3,anvaśikṣan vrataṁ tasya
8.1.22.4,kaumāra-brahmacāriṇaḥ
8.1.23.1,tṛtīya uttamo nāma
8.1.23.2,priyavrata-suto manuḥ
8.1.23.3,pavanaḥ sṛñjayo yajña-
8.1.23.4,hotrādyās tat-sutā nṛpa
8.1.24.1,vasiṣṭha-tanayāḥ sapta
8.1.24.2,ṛṣayaḥ pramadādayaḥ
8.1.24.3,satyā vedaśrutā bhadrā
8.1.24.4,devā indras tu satyajit
8.1.25.1,dharmasya sūnṛtāyāṁ tu
8.1.25.2,bhagavān puruṣottamaḥ
8.1.25.3,satyasena iti khyāto
8.1.25.4,jātaḥ satyavrataiḥ saha
8.1.26.1,so ’nṛta-vrata-duḥśīlān
8.1.26.2,asato yakṣa-rākṣasān
8.1.26.3,bhūta-druho bhūta-gaṇāṁś
8.1.26.4,cāvadhīt satyajit-sakhaḥ
8.1.27.1,caturtha uttama-bhrātā
8.1.27.2,manur nāmnā ca tāmasaḥ
8.1.27.3,pṛthuḥ khyātir naraḥ ketur
8.1.27.4,ity ādyā daśa tat-sutāḥ
8.1.28.1,satyakā harayo vīrā
8.1.28.2,devās triśikha īśvaraḥ
8.1.28.3,jyotirdhāmādayaḥ sapta
8.1.28.4,ṛṣayas tāmase ’ntare
8.1.29.1,devā vaidhṛtayo nāma
8.1.29.2,vidhṛtes tanayā nṛpa
8.1.29.3,naṣṭāḥ kālena yair vedā
8.1.29.4,vidhṛtāḥ svena tejasā
8.1.30.1,tatrāpi jajñe bhagavān
8.1.30.2,hariṇyāṁ harimedhasaḥ
8.1.30.3,harir ity āhṛto yena
8.1.30.4,gajendro mocito grahāt
8.1.31.1,śrī-rājovāca
8.1.32.1,tat-kathāsu mahat puṇyaṁ
8.1.32.2,dhanyaṁ svastyayanaṁ śubham
8.1.32.3,yatra yatrottamaśloko
8.1.32.4,bhagavān gīyate hariḥ
8.1.33.1,śrī-sūta uvāca
8.2.1.1,śrī-śuka uvāca
8.2.2-3.1,tāvatā vistṛtaḥ paryak
8.2.2-3.2,tribhiḥ śṛṅgaiḥ payo-nidhim
8.2.2-3.3,diśaḥ khaṁ rocayann āste
8.2.2-3.4,raupyāyasa-hiraṇmayaiḥ
8.2.4.1,sa cāvanijyamānāṅghriḥ
8.2.4.2,samantāt paya-ūrmibhiḥ
8.2.4.3,karoti śyāmalāṁ bhūmiṁ
8.2.4.4,harin-marakatāśmabhiḥ
8.2.5.1,siddha-cāraṇa-gandharvair
8.2.5.2,vidyādhara-mahoragaiḥ
8.2.5.3,kinnarair apsarobhiś ca
8.2.5.4,krīḍadbhir juṣṭa-kandaraḥ
8.2.6.1,yatra saṅgīta-sannādair
8.2.6.2,nadad-guham amarṣayā
8.2.6.3,abhigarjanti harayaḥ
8.2.6.4,ślāghinaḥ para-śaṅkayā
8.2.7.1,nānāraṇya-paśu-vrāta-
8.2.7.2,saṅkula-droṇy-alaṅkṛtaḥ
8.2.7.3,citra-druma-surodyāna-
8.2.7.4,kalakaṇṭha-vihaṅgamaḥ
8.2.8.1,sarit-sarobhir acchodaiḥ
8.2.8.2,pulinair maṇi-vālukaiḥ
8.2.8.3,deva-strī-majjanāmoda-
8.2.8.4,saurabhāmbv-anilair yutaḥ
8.2.9-13.1,tasya droṇyāṁ bhagavato
8.2.9-13.2,varuṇasya mahātmanaḥ
8.2.9-13.3,udyānam ṛtuman nāma
8.2.9-13.4,ākrīḍaṁ sura-yoṣitām
8.2.14-19.1,bilvaiḥ kapitthair jambīrair
8.2.14-19.2,vṛto bhallātakādibhiḥ
8.2.14-19.3,tasmin saraḥ suvipulaṁ
8.2.14-19.4,lasat-kāñcana-paṅkajam
8.2.20.1,tatraikadā tad-giri-kānanāśrayaḥ
8.2.20.2,kareṇubhir vāraṇa-yūtha-paś caran
8.2.20.3,sakaṇṭakaṁ kīcaka-veṇu-vetravad
8.2.20.4,viśāla-gulmaṁ prarujan vanaspatīn
8.2.21.1,yad-gandha-mātrād dharayo gajendrā
8.2.21.2,vyāghrādayo vyāla-mṛgāḥ sakhaḍgāḥ
8.2.21.3,mahoragāś cāpi bhayād dravanti
8.2.21.4,sagaura-kṛṣṇāḥ sarabhāś camaryaḥ
8.2.22.1,vṛkā varāhā mahiṣarkṣa-śalyā
8.2.22.2,gopuccha-śālāvṛka-markaṭāś ca
8.2.22.3,anyatra kṣudrā hariṇāḥ śaśādayaś
8.2.22.4,caranty abhītā yad-anugraheṇa
8.2.23-24.1,sa gharma-taptaḥ karibhiḥ kareṇubhir
8.2.23-24.2,vṛto madacyut-karabhair anudrutaḥ
8.2.23-24.3,giriṁ garimṇā paritaḥ prakampayan
8.2.23-24.4,niṣevyamāṇo ’likulair madāśanaiḥ
8.2.25.1,vigāhya tasminn amṛtāmbu nirmalaṁ
8.2.25.2,hemāravindotpala-reṇu-rūṣitam
8.2.25.3,papau nikāmaṁ nija-puṣkaroddhṛtam
8.2.25.4,ātmānam adbhiḥ snapayan gata-klamaḥ
8.2.26.1,sa puṣkareṇoddhṛta-śīkarāmbubhir
8.2.26.2,nipāyayan saṁsnapayan yathā gṛhī
8.2.26.3,ghṛṇī kareṇuḥ karabhāṁś ca durmado
8.2.26.4,nācaṣṭa kṛcchraṁ kṛpaṇo ’ja-māyayā
8.2.27.1,taṁ tatra kaścin nṛpa daiva-codito
8.2.27.2,grāho balīyāṁś caraṇe ruṣāgrahīt
8.2.27.3,yadṛcchayaivaṁ vyasanaṁ gato gajo
8.2.27.4,yathā-balaṁ so ’tibalo vicakrame
8.2.28.1,tathāturaṁ yūtha-patiṁ kareṇavo
8.2.28.2,vikṛṣyamāṇaṁ tarasā balīyasā
8.2.28.3,vicukruśur dīna-dhiyo ’pare gajāḥ
8.2.28.4,pārṣṇi-grahās tārayituṁ na cāśakan
8.2.29.1,niyudhyator evam ibhendra-nakrayor
8.2.29.2,vikarṣator antarato bahir mithaḥ
8.2.29.3,samāḥ sahasraṁ vyagaman mahī-pate
8.2.29.4,saprāṇayoś citram amaṁsatāmarāḥ
8.2.30.1,tato gajendrasya mano-balaujasāṁ
8.2.30.2,kālena dīrgheṇa mahān abhūd vyayaḥ
8.2.30.3,vikṛṣyamāṇasya jale ’vasīdato
8.2.30.4,viparyayo ’bhūt sakalaṁ jalaukasaḥ
8.2.31.1,itthaṁ gajendraḥ sa yadāpa saṅkaṭaṁ
8.2.31.2,prāṇasya dehī vivaśo yadṛcchayā
8.2.31.3,apārayann ātma-vimokṣaṇe ciraṁ
8.2.31.4,dadhyāv imāṁ buddhim athābhyapadyata
8.2.32.1,na mām ime jñātaya āturaṁ gajāḥ
8.2.32.2,kutaḥ kariṇyaḥ prabhavanti mocitum
8.2.32.3,grāheṇa pāśena vidhātur āvṛto
8.2.32.4,’py ahaṁ ca taṁ yāmi paraṁ parāyaṇam
8.2.33.1,yaḥ kaścaneśo balino ’ntakoragāt
8.2.33.2,pracaṇḍa-vegād abhidhāvato bhṛśam
8.2.33.3,bhītaṁ prapannaṁ paripāti yad-bhayān
8.2.33.4,mṛtyuḥ pradhāvaty araṇaṁ tam īmahi
8.3.1.1,śrī-bādarāyaṇir uvāca
8.3.2.1,śrī-gajendra uvāca
8.3.3.1,yasminn idaṁ yataś cedaṁ
8.3.3.2,yenedaṁ ya idaṁ svayam
8.3.3.3,yo ’smāt parasmāc ca paras
8.3.3.4,taṁ prapadye svayambhuvam
8.3.4.1,yaḥ svātmanīdaṁ nija-māyayārpitaṁ
8.3.4.2,kvacid vibhātaṁ kva ca tat tirohitam
8.3.4.3,aviddha-dṛk sākṣy ubhayaṁ tad īkṣate
8.3.4.4,sa ātma-mūlo ’vatu māṁ parāt-paraḥ
8.3.5.1,kālena pañcatvam iteṣu kṛtsnaśo
8.3.5.2,lokeṣu pāleṣu ca sarva-hetuṣu
8.3.5.3,tamas tadāsīd gahanaṁ gabhīraṁ
8.3.5.4,yas tasya pāre ’bhivirājate vibhuḥ
8.3.6.1,na yasya devā ṛṣayaḥ padaṁ vidur
8.3.6.2,jantuḥ punaḥ ko ’rhati gantum īritum
8.3.6.3,yathā naṭasyākṛtibhir viceṣṭato
8.3.6.4,duratyayānukramaṇaḥ sa māvatu
8.3.7.1,didṛkṣavo yasya padaṁ sumaṅgalaṁ
8.3.7.2,vimukta-saṅgā munayaḥ susādhavaḥ
8.3.7.3,caranty aloka-vratam avraṇaṁ vane
8.3.7.4,bhūtātma-bhūtāḥ suhṛdaḥ sa me gatiḥ
8.3.8-9.1,na vidyate yasya ca janma karma vā
8.3.8-9.2,na nāma-rūpe guṇa-doṣa eva vā
8.3.8-9.3,tathāpi lokāpyaya-sambhavāya yaḥ
8.3.8-9.4,sva-māyayā tāny anukālam ṛcchati
8.3.10.1,nama ātma-pradīpāya
8.3.10.2,sākṣiṇe paramātmane
8.3.10.3,namo girāṁ vidūrāya
8.3.10.4,manasaś cetasām api
8.3.11.1,sattvena pratilabhyāya
8.3.11.2,naiṣkarmyeṇa vipaścitā
8.3.11.3,namaḥ kaivalya-nāthāya
8.3.11.4,nirvāṇa-sukha-saṁvide
8.3.12.1,namaḥ śāntāya ghorāya
8.3.12.2,mūḍhāya guṇa-dharmiṇe
8.3.12.3,nirviśeṣāya sāmyāya
8.3.12.4,namo jñāna-ghanāya ca
8.3.13.1,kṣetra-jñāya namas tubhyaṁ
8.3.13.2,sarvādhyakṣāya sākṣiṇe
8.3.13.3,puruṣāyātma-mūlāya
8.3.13.4,mūla-prakṛtaye namaḥ
8.3.14.1,sarvendriya-guṇa-draṣṭre
8.3.14.2,sarva-pratyaya-hetave
8.3.14.3,asatā cchāyayoktāya
8.3.14.4,sad-ābhāsāya te namaḥ
8.3.15.1,namo namas te ’khila-kāraṇāya
8.3.15.2,niṣkāraṇāyādbhuta-kāraṇāya
8.3.15.3,sarvāgamāmnāya-mahārṇavāya
8.3.15.4,namo ’pavargāya parāyaṇāya
8.3.16.1,guṇāraṇi-cchanna-cid-uṣmapāya
8.3.16.2,tat-kṣobha-visphūrjita-mānasāya
8.3.16.3,naiṣkarmya-bhāvena vivarjitāgama-
8.3.16.4,svayaṁ-prakāśāya namas karomi
8.3.17.1,mādṛk prapanna-paśu-pāśa-vimokṣaṇāya
8.3.17.2,muktāya bhūri-karuṇāya namo ’layāya
8.3.17.3,svāṁśena sarva-tanu-bhṛn-manasi pratīta-
8.3.17.4,pratyag-dṛśe bhagavate bṛhate namas te
8.3.18.1,ātmātma-jāpta-gṛha-vitta-janeṣu saktair
8.3.18.2,duṣprāpaṇāya guṇa-saṅga-vivarjitāya
8.3.18.3,muktātmabhiḥ sva-hṛdaye paribhāvitāya
8.3.18.4,jñānātmane bhagavate nama īśvarāya
8.3.19.1,yaṁ dharma-kāmārtha-vimukti-kāmā
8.3.19.2,bhajanta iṣṭāṁ gatim āpnuvanti
8.3.19.3,kiṁ cāśiṣo rāty api deham avyayaṁ
8.3.19.4,karotu me ’dabhra-dayo vimokṣaṇam
8.3.20-21.1,ekāntino yasya na kañcanārthaṁ
8.3.20-21.2,vāñchanti ye vai bhagavat-prapannāḥ
8.3.20-21.3,aty-adbhutaṁ tac-caritaṁ sumaṅgalaṁ
8.3.20-21.4,gāyanta ānanda-samudra-magnāḥ
8.3.22-24.1,yasya brahmādayo devā
8.3.22-24.2,vedā lokāś carācarāḥ
8.3.22-24.3,nāma-rūpa-vibhedena
8.3.22-24.4,phalgvyā ca kalayā kṛtāḥ
8.3.25.1,jijīviṣe nāham ihāmuyā kim
8.3.25.2,antar bahiś cāvṛtayebha-yonyā
8.3.25.3,icchāmi kālena na yasya viplavas
8.3.25.4,tasyātma-lokāvaraṇasya mokṣam
8.3.26.1,so ’haṁ viśva-sṛjaṁ viśvam
8.3.26.2,aviśvaṁ viśva-vedasam
8.3.26.3,viśvātmānam ajaṁ brahma
8.3.26.4,praṇato ’smi paraṁ padam
8.3.27.1,yoga-randhita-karmāṇo
8.3.27.2,hṛdi yoga-vibhāvite
8.3.27.3,yogino yaṁ prapaśyanti
8.3.27.4,yogeśaṁ taṁ nato ’smy aham
8.3.28.1,namo namas tubhyam asahya-vega-
8.3.28.2,śakti-trayāyākhila-dhī-guṇāya
8.3.28.3,prapanna-pālāya duranta-śaktaye
8.3.28.4,kad-indriyāṇām anavāpya-vartmane
8.3.29.1,nāyaṁ veda svam ātmānaṁ
8.3.29.2,yac-chaktyāhaṁ-dhiyā hatam
8.3.29.3,taṁ duratyaya-māhātmyaṁ
8.3.29.4,bhagavantam ito ’smy aham
8.3.30.1,śrī-śuka uvāca
8.3.31.1,taṁ tadvad ārtam upalabhya jagan-nivāsaḥ
8.3.31.2,stotraṁ niśamya divijaiḥ saha saṁstuvadbhiḥ
8.3.31.3,chandomayena garuḍena samuhyamānaś
8.3.31.4,cakrāyudho ’bhyagamad āśu yato gajendraḥ
8.3.32.1,so ’ntaḥ-sarasy urubalena gṛhīta ārto
8.3.32.2,dṛṣṭvā garutmati hariṁ kha upātta-cakram
8.3.32.3,utkṣipya sāmbuja-karaṁ giramāha kṛcchrān
8.3.32.4,nārāyaṇākhila-guro bhagavan namas te
8.3.33.1,taṁ vīkṣya pīḍitam ajaḥ sahasāvatīrya
8.3.33.2,sa-grāham āśu sarasaḥ kṛpayojjahāra
8.3.33.3,grāhād vipāṭita-mukhād ariṇā gajendraṁ
8.3.33.4,saṁpaśyatāṁ harir amūmucad ucchriyāṇām
8.4.1.1,śrī-śuka uvāca
8.4.2.1,nedur dundubhayo divyā
8.4.2.2,gandharvā nanṛtur jaguḥ
8.4.2.3,ṛṣayaś cāraṇāḥ siddhās
8.4.2.4,tuṣṭuvuḥ puruṣottamam
8.4.3-4.1,yo ’sau grāhaḥ sa vai sadyaḥ
8.4.3-4.2,paramāścarya-rūpa-dhṛk
8.4.3-4.3,mukto devala-śāpena
8.4.3-4.4,hūhūr gandharva-sattamaḥ
8.4.5.1,so ’nukampita īśena
8.4.5.2,parikramya praṇamya tam
8.4.5.3,lokasya paśyato lokaṁ
8.4.5.4,svam agān mukta-kilbiṣaḥ
8.4.6.1,gajendro bhagavat-sparśād
8.4.6.2,vimukto ’jñāna-bandhanāt
8.4.6.3,prāpto bhagavato rūpaṁ
8.4.6.4,pīta-vāsāś catur-bhujaḥ
8.4.7.1,sa vai pūrvam abhūd rājā
8.4.7.2,pāṇḍyo draviḍa-sattamaḥ
8.4.7.3,indradyumna iti khyāto
8.4.7.4,viṣṇu-vrata-parāyaṇaḥ
8.4.8.1,sa ekadārādhana-kāla ātmavān
8.4.8.2,gṛhīta-mauna-vrata īśvaraṁ harim
8.4.8.3,jaṭā-dharas tāpasa āpluto ’cyutaṁ
8.4.8.4,samarcayām āsa kulācalāśramaḥ
8.4.9.1,yadṛcchayā tatra mahā-yaśā muniḥ
8.4.9.2,samāgamac chiṣya-gaṇaiḥ pariśritaḥ
8.4.9.3,taṁ vīkṣya tūṣṇīm akṛtārhaṇādikaṁ
8.4.9.4,rahasy upāsīnam ṛṣiś cukopa ha
8.4.10.1,tasmā imaṁ śāpam adād asādhur
8.4.10.2,ayaṁ durātmākṛta-buddhir adya
8.4.10.3,viprāvamantā viśatāṁ tamisraṁ
8.4.10.4,yathā gajaḥ stabdha-matiḥ sa eva
8.4.11-12.1,śrī-śuka uvāca
8.4.13.1,evaṁ vimokṣya gaja-yūtha-pam abja-nābhas
8.4.13.2,tenāpi pārṣada-gatiṁ gamitena yuktaḥ
8.4.13.3,gandharva-siddha-vibudhair upagīyamāna-
8.4.13.4,karmādbhutaṁ sva-bhavanaṁ garuḍāsano ’gāt
8.4.14.1,etan mahā-rāja taverito mayā
8.4.14.2,kṛṣṇānubhāvo gaja-rāja-mokṣaṇam
8.4.14.3,svargyaṁ yaśasyaṁ kali-kalmaṣāpahaṁ
8.4.14.4,duḥsvapna-nāśaṁ kuru-varya śṛṇvatām
8.4.15.1,yathānukīrtayanty etac
8.4.15.2,chreyas-kāmā dvijātayaḥ
8.4.15.3,śucayaḥ prātar utthāya
8.4.15.4,duḥsvapnādy-upaśāntaye
8.4.16.1,idam āha hariḥ prīto
8.4.16.2,gajendraṁ kuru-sattama
8.4.16.3,śṛṇvatāṁ sarva-bhūtānāṁ
8.4.16.4,sarva-bhūta-mayo vibhuḥ
8.4.17-24.1,śrī-bhagavān uvāca
8.4.25.1,ye māṁ stuvanty anenāṅga
8.4.25.2,pratibudhya niśātyaye
8.4.25.3,teṣāṁ prāṇātyaye cāhaṁ
8.4.25.4,dadāmi vipulāṁ gatim
8.4.26.1,śrī-śuka uvāca
8.5.1.1,śrī-śuka uvāca
8.5.2.1,pañcamo raivato nāma
8.5.2.2,manus tāmasa-sodaraḥ
8.5.2.3,bali-vindhyādayas tasya
8.5.2.4,sutā hārjuna-pūrvakāḥ
8.5.3.1,vibhur indraḥ sura-gaṇā
8.5.3.2,rājan bhūtarayādayaḥ
8.5.3.3,hiraṇyaromā vedaśirā
8.5.3.4,ūrdhvabāhv-ādayo dvijāḥ
8.5.4.1,patnī vikuṇṭhā śubhrasya
8.5.4.2,vaikuṇṭhaiḥ sura-sattamaiḥ
8.5.4.3,tayoḥ sva-kalayā jajñe
8.5.4.4,vaikuṇṭho bhagavān svayam
8.5.5.1,vaikuṇṭhaḥ kalpito yena
8.5.5.2,loko loka-namaskṛtaḥ
8.5.5.3,ramayā prārthyamānena
8.5.5.4,devyā tat-priya-kāmyayā
8.5.6.1,tasyānubhāvaḥ kathito
8.5.6.2,guṇāś ca paramodayāḥ
8.5.6.3,bhaumān reṇūn sa vimame
8.5.6.4,yo viṣṇor varṇayed guṇān
8.5.7.1,ṣaṣṭhaś ca cakṣuṣaḥ putraś
8.5.7.2,cākṣuṣo nāma vai manuḥ
8.5.7.3,pūru-pūruṣa-sudyumna-
8.5.7.4,pramukhāś cākṣuṣātmajāḥ
8.5.8.1,indro mantradrumas tatra
8.5.8.2,devā āpyādayo gaṇāḥ
8.5.8.3,munayas tatra vai rājan
8.5.8.4,haviṣmad-vīrakādayaḥ
8.5.9.1,tatrāpi devasambhūtyāṁ
8.5.9.2,vairājasyābhavat sutaḥ
8.5.9.3,ajito nāma bhagavān
8.5.9.4,aṁśena jagataḥ patiḥ
8.5.10.1,payodhiṁ yena nirmathya
8.5.10.2,surāṇāṁ sādhitā sudhā
8.5.10.3,bhramamāṇo ’mbhasi dhṛtaḥ
8.5.10.4,kūrma-rūpeṇa mandaraḥ
8.5.11-12.1,śrī-rājovāca
8.5.13.1,tvayā saṅkathyamānena
8.5.13.2,mahimnā sātvatāṁ pateḥ
8.5.13.3,nātitṛpyati me cittaṁ
8.5.13.4,suciraṁ tāpa-tāpitam
8.5.14.1,śrī-sūta uvāca
8.5.15-16.1,śrī-śuka uvāca
8.5.17-18.1,niśāmyaitat sura-gaṇā
8.5.17-18.2,mahendra-varuṇādayaḥ
8.5.17-18.3,nādhyagacchan svayaṁ mantrair
8.5.17-18.4,mantrayanto viniścitam
8.5.19-20.1,sa vilokyendra-vāyv-ādīn
8.5.19-20.2,niḥsattvān vigata-prabhān
8.5.19-20.3,lokān amaṅgala-prāyān
8.5.19-20.4,asurān ayathā vibhuḥ
8.5.21.1,ahaṁ bhavo yūyam atho ’surādayo
8.5.21.2,manuṣya-tiryag-druma-gharma-jātayaḥ
8.5.21.3,yasyāvatārāṁśa-kalā-visarjitā
8.5.21.4,vrajāma sarve śaraṇaṁ tam avyayam
8.5.22.1,na yasya vadhyo na ca rakṣaṇīyo
8.5.22.2,nopekṣaṇīyādaraṇīya-pakṣaḥ
8.5.22.3,tathāpi sarga-sthiti-saṁyamārthaṁ
8.5.22.4,dhatte rajaḥ-sattva-tamāṁsi kāle
8.5.23.1,ayaṁ ca tasya sthiti-pālana-kṣaṇaḥ
8.5.23.2,sattvaṁ juṣāṇasya bhavāya dehinām
8.5.23.3,tasmād vrajāmaḥ śaraṇaṁ jagad-guruṁ
8.5.23.4,svānāṁ sa no dhāsyati śaṁ sura-priyaḥ
8.5.24.1,śrī-śuka uvāca
