ids,sentences
1.1.1.1,oṁ namo bhagavate vāsudevāya
1.1.2.1,dharmaḥ projjhita-kaitavo ’tra paramo nirmatsarāṇāṁ satāṁ
1.1.2.2,vedyaṁ vāstavam atra vastu śivadaṁ tāpa-trayonmūlanam
1.1.2.3,śrīmad-bhāgavate mahā-muni-kṛte kiṁ vā parair īśvaraḥ
1.1.2.4,sadyo hṛdy avarudhyate ’tra kṛtibhiḥ śuśrūṣubhis tat-kṣaṇāt
1.1.3.1,nigama-kalpa-taror galitaṁ phalaṁ
1.1.3.2,śuka-mukhād amṛta-drava-saṁyutam
1.1.3.3,pibata bhāgavataṁ rasam ālayam
1.1.3.4,muhur aho rasikā bhuvi bhāvukāḥ
1.1.4.1,naimiṣe ’nimiṣa-kṣetre
1.1.4.2,ṛṣayaḥ śaunakādayaḥ
1.1.4.3,satraṁ svargāya lokāya
1.1.4.4,sahasra-samam āsata
1.1.5.1,ta ekadā tu munayaḥ
1.1.5.2,prātar huta-hutāgnayaḥ
1.1.5.3,sat-kṛtaṁ sūtam āsīnaṁ
1.1.5.4,papracchur idam ādarāt
1.1.6.1,ṛṣaya ūcuḥ
1.1.7.1,yāni veda-vidāṁ śreṣṭho
1.1.7.2,bhagavān bādarāyaṇaḥ
1.1.7.3,anye ca munayaḥ sūta
1.1.7.4,parāvara-vido viduḥ
1.1.8.1,vettha tvaṁ saumya tat sarvaṁ
1.1.8.2,tattvatas tad-anugrahāt
1.1.8.3,brūyuḥ snigdhasya śiṣyasya
1.1.8.4,guravo guhyam apy uta
1.1.9.1,tatra tatrāñjasāyuṣman
1.1.9.2,bhavatā yad viniścitam
1.1.9.3,puṁsām ekāntataḥ śreyas
1.1.9.4,tan naḥ śaṁsitum arhasi
1.1.10.1,prāyeṇālpāyuṣaḥ sabhya
1.1.10.2,kalāv asmin yuge janāḥ
1.1.10.3,mandāḥ sumanda-matayo
1.1.10.4,manda-bhāgyā hy upadrutāḥ
1.1.11.1,bhūrīṇi bhūri-karmāṇi
1.1.11.2,śrotavyāni vibhāgaśaḥ
1.1.11.3,ataḥ sādho ’tra yat sāraṁ
1.1.11.4,samuddhṛtya manīṣayā
1.1.11.5,brūhi bhadrāya bhūtānām
1.1.11.6,yenātmā suprasīdati
1.1.12.1,sūta jānāsi bhadraṁ te
1.1.12.2,bhagavān sātvatāṁ patiḥ
1.1.12.3,devakyāṁ vasudevasya
1.1.12.4,jāto yasya cikīrṣayā
1.1.13.1,tan naḥ śuśrūṣamāṇānām
1.1.13.2,arhasy aṅgānuvarṇitum
1.1.13.3,yasyāvatāro bhūtānāṁ
1.1.13.4,kṣemāya ca bhavāya ca
1.1.14.1,āpannaḥ saṁsṛtiṁ ghorāṁ
