ids,sentences
12.1.1-2.1,śrī-śuka uvāca
12.1.3.1,nandivardhanas tat-putraḥ
12.1.3.2,pañca pradyotanā ime
12.1.3.3,aṣṭa-triṁśottara-śataṁ
12.1.3.4,bhokṣyanti pṛthivīṁ nṛpāḥ
12.1.4.1,śiśunāgas tato bhāvyaḥ
12.1.4.2,kākavarṇas tu tat-sutaḥ
12.1.4.3,kṣemadharmā tasya sutaḥ
12.1.4.4,kṣetrajñaḥ kṣemadharma-jaḥ
12.1.5.1,vidhisāraḥ sutas tasyā-
12.1.5.2,jātaśatrur bhaviṣyati
12.1.5.3,darbhakas tat-suto bhāvī
12.1.5.4,darbhakasyājayaḥ smṛtaḥ
12.1.6-8.1,nandivardhana ājeyo
12.1.6-8.2,mahānandiḥ sutas tataḥ
12.1.6-8.3,śiśunāgā daśaivaite
12.1.6-8.4,saṣṭy-uttara-śata-trayam
12.1.9.1,sa eka-cchatrāṁ pṛthivīm
12.1.9.2,anullaṅghita-śāsanaḥ
12.1.9.3,śāsiṣyati mahāpadmo
12.1.9.4,dvitīya iva bhārgavaḥ
12.1.10.1,tasya cāṣṭau bhaviṣyanti
12.1.10.2,sumālya-pramukhāḥ sutāḥ
12.1.10.3,ya imāṁ bhokṣyanti mahīṁ
12.1.10.4,rājānaś ca śataṁ samāḥ
12.1.11.1,nava nandān dvijaḥ kaścit
12.1.11.2,prapannān uddhariṣyati
12.1.11.3,teṣām abhāve jagatīṁ
12.1.11.4,mauryā bhokṣyanti vai kalau
12.1.12.1,sa eva candraguptaṁ vai
12.1.12.2,dvijo rājye ’bhiṣekṣyati
12.1.12.3,tat-suto vārisāras tu
12.1.12.4,tataś cāśokavardhanaḥ
12.1.13.1,suyaśā bhavitā tasya
12.1.13.2,saṅgataḥ suyaśaḥ-sutaḥ
12.1.13.3,śāliśūkas tatas tasya
12.1.13.4,somaśarmā bhaviṣyati
12.1.13.5,śatadhanvā tatas tasya
12.1.13.6,bhavitā tad-bṛhadrathaḥ
12.1.14.1,mauryā hy ete daśa nṛpāḥ
12.1.14.2,sapta-triṁśac-chatottaram
12.1.14.3,samā bhokṣyanti pṛthivīṁ
12.1.14.4,kalau kuru-kulodvaha
12.1.15-17.1,agnimitras tatas tasmāt
12.1.15-17.2,sujyeṣṭho bhavitā tataḥ
12.1.15-17.3,vasumitro bhadrakaś ca
12.1.15-17.4,pulindo bhavitā sutaḥ
12.1.18.1,śuṅgaṁ hatvā devabhūtiṁ
12.1.18.2,kāṇvo ’mātyas tu kāminam
12.1.18.3,svayaṁ kariṣyate rājyaṁ
12.1.18.4,vasudevo mahā-matiḥ
12.1.19.1,tasya putras tu bhūmitras
12.1.19.2,tasya nārāyaṇaḥ sutaḥ
12.1.19.3,kāṇvāyanā ime bhūmiṁ
12.1.19.4,catvāriṁśac ca pañca ca
12.1.19.5,śatāni trīṇi bhokṣyanti
12.1.19.6,varṣāṇāṁ ca kalau yuge
12.1.20.1,hatvā kāṇvaṁ suśarmāṇaṁ
12.1.20.2,tad-bhṛtyo vṛṣalo balī
12.1.20.3,gāṁ bhokṣyaty andhra-jātīyaḥ
12.1.20.4,kañcit kālam asattamaḥ
12.1.21-26.1,kṛṣṇa-nāmātha tad-bhrātā
12.1.21-26.2,bhavitā pṛthivī-patiḥ
12.1.21-26.3,śrī-śāntakarṇas tat-putraḥ
12.1.21-26.4,paurṇamāsas tu tat-sutaḥ
12.1.27.1,saptābhīrā āvabhṛtyā
12.1.27.2,daśa gardabhino nṛpāḥ
12.1.27.3,kaṅkāḥ ṣoḍaśa bhū-pālā
12.1.27.4,bhaviṣyanty ati-lolupāḥ
12.1.28.1,tato ’ṣṭau yavanā bhāvyāś
12.1.28.2,caturdaśa turuṣkakāḥ
12.1.28.3,bhūyo daśa guruṇḍāś ca
12.1.28.4,maulā ekādaśaiva tu
12.1.29-31.1,ete bhokṣyanti pṛthivīṁ
12.1.29-31.2,daśa varṣa-śatāni ca
12.1.29-31.3,navādhikāṁ ca navatiṁ
12.1.29-31.4,maulā ekādaśa kṣitim
12.1.32-33.1,teṣāṁ trayodaśa sutā
12.1.32-33.2,bhavitāraś ca bāhlikāḥ
12.1.32-33.3,puṣpamitro ’tha rājanyo
12.1.32-33.4,durmitro ’sya tathaiva ca
12.1.34.1,māgadhānāṁ tu bhavitā
12.1.34.2,viśvasphūrjiḥ purañjayaḥ
12.1.34.3,kariṣyaty aparo varṇān
12.1.34.4,pulinda-yadu-madrakān
12.1.35.1,prajāś cābrahma-bhūyiṣṭhāḥ
12.1.35.2,sthāpayiṣyati durmatiḥ
12.1.35.3,vīryavān kṣatram utsādya
12.1.35.4,padmavatyāṁ sa vai puri
12.1.35.5,anu-gaṅgam ā-prayāgaṁ
12.1.35.6,guptāṁ bhokṣyati medinīm
12.1.36.1,saurāṣṭrāvanty-ābhīrāś ca
12.1.36.2,śūrā arbuda-mālavāḥ
12.1.36.3,vrātyā dvijā bhaviṣyanti
12.1.36.4,śūdra-prāyā janādhipāḥ
12.1.37.1,sindhos taṭaṁ candrabhāgāṁ
12.1.37.2,kauntīṁ kāśmīra-maṇḍalam
12.1.37.3,bhokṣyanti śūdrā vrātyādyā
12.1.37.4,mlecchāś cābrahma-varcasaḥ
12.1.38.1,tulya-kālā ime rājan
12.1.38.2,mleccha-prāyāś ca bhū-bhṛtaḥ
12.1.38.3,ete ’dharmānṛta-parāḥ
12.1.38.4,phalgu-dās tīvra-manyavaḥ
12.1.39-40.1,strī-bāla-go-dvija-ghnāś ca
12.1.39-40.2,para-dāra-dhanādṛtāḥ
12.1.39-40.3,uditāsta-mita-prāyā
12.1.39-40.4,alpa-sattvālpakāyuṣaḥ
12.1.41.1,tan-nāthās te janapadās
12.1.41.2,tac-chīlācāra-vādinaḥ
12.1.41.3,anyonyato rājabhiś ca
12.1.41.4,kṣayaṁ yāsyanti pīḍitāḥ
12.2.1.1,śrī-śuka uvāca
12.2.2.1,vittam eva kalau nṝṇāṁ
12.2.2.2,janmācāra-guṇodayaḥ
12.2.2.3,dharma-nyāya-vyavasthāyāṁ
12.2.2.4,kāraṇaṁ balam eva hi
12.2.3.1,dāmpatye ’bhirucir hetur
12.2.3.2,māyaiva vyāvahārike
12.2.3.3,strītve puṁstve ca hi ratir
12.2.3.4,vipratve sūtram eva hi
12.2.4.1,liṅgam evāśrama-khyātāv
12.2.4.2,anyonyāpatti-kāraṇam
12.2.4.3,avṛttyā nyāya-daurbalyaṁ
12.2.4.4,pāṇḍitye cāpalaṁ vacaḥ
12.2.5.1,anāḍhyataivāsādhutve
12.2.5.2,sādhutve dambha eva tu
12.2.5.3,svīkāra eva codvāhe
12.2.5.4,snānam eva prasādhanam
12.2.6.1,dūre vāry-ayanaṁ tīrthaṁ
12.2.6.2,lāvaṇyaṁ keśa-dhāraṇam
12.2.6.3,udaraṁ-bharatā svārthaḥ
12.2.6.4,satyatve dhārṣṭyam eva hi
12.2.6.5,dākṣyaṁ kuṭumba-bharaṇaṁ
12.2.6.6,yaśo ’rthe dharma-sevanam
12.2.7.1,evaṁ prajābhir duṣṭābhir
12.2.7.2,ākīrṇe kṣiti-maṇḍale
12.2.7.3,brahma-viṭ-kṣatra-śūdrāṇāṁ
12.2.7.4,yo balī bhavitā nṛpaḥ
12.2.8.1,prajā hi lubdhai rājanyair
12.2.8.2,nirghṛṇair dasyu-dharmabhiḥ
12.2.8.3,ācchinna-dāra-draviṇā
12.2.8.4,yāsyanti giri-kānanam
12.2.9.1,śāka-mūlāmiṣa-kṣaudra-
12.2.9.2,phala-puṣpāṣṭi-bhojanāḥ
12.2.9.3,anāvṛṣṭyā vinaṅkṣyanti
