ids,sentences
10.1.1.1,śrī-rājovāca
10.1.2.1,yadoś ca dharma-śīlasya
10.1.2.2,nitarāṁ muni-sattama
10.1.2.3,tatrāṁśenāvatīrṇasya
10.1.2.4,viṣṇor vīryāṇi śaṁsa naḥ
10.1.3.1,avatīrya yador vaṁśe
10.1.3.2,bhagavān bhūta-bhāvanaḥ
10.1.3.3,kṛtavān yāni viśvātmā
10.1.3.4,tāni no vada vistarāt
10.1.4.1,nivṛtta-tarṣair upagīyamānād
10.1.4.2,bhavauṣadhāc chrotra-mano-’bhirāmāt
10.1.4.3,ka uttamaśloka-guṇānuvādāt
10.1.4.4,pumān virajyeta vinā paśughnāt
10.1.5-7.1,pitāmahā me samare ’marañjayair
10.1.5-7.2,devavratādyātirathais timiṅgilaiḥ
10.1.5-7.3,duratyayaṁ kaurava-sainya-sāgaraṁ
10.1.5-7.4,kṛtvātaran vatsa-padaṁ sma yat-plavāḥ
10.1.8.1,rohiṇyās tanayaḥ prokto
10.1.8.2,rāmaḥ saṅkarṣaṇas tvayā
10.1.8.3,devakyā garbha-sambandhaḥ
10.1.8.4,kuto dehāntaraṁ vinā
10.1.9.1,kasmān mukundo bhagavān
10.1.9.2,pitur gehād vrajaṁ gataḥ
10.1.9.3,kva vāsaṁ jñātibhiḥ sārdhaṁ
10.1.9.4,kṛtavān sātvatāṁ patiḥ
10.1.10.1,vraje vasan kim akaron
10.1.10.2,madhupuryāṁ ca keśavaḥ
10.1.10.3,bhrātaraṁ cāvadhīt kaṁsaṁ
10.1.10.4,mātur addhātad-arhaṇam
10.1.11.1,dehaṁ mānuṣam āśritya
10.1.11.2,kati varṣāṇi vṛṣṇibhiḥ
10.1.11.3,yadu-puryāṁ sahāvātsīt
10.1.11.4,patnyaḥ katy abhavan prabhoḥ
10.1.12.1,etad anyac ca sarvaṁ me
10.1.12.2,mune kṛṣṇa-viceṣṭitam
10.1.12.3,vaktum arhasi sarvajña
10.1.12.4,śraddadhānāya vistṛtam
10.1.13.1,naiṣātiduḥsahā kṣun māṁ
10.1.13.2,tyaktodam api bādhate
10.1.13.3,pibantaṁ tvan-mukhāmbhoja-
10.1.13.4,cyutaṁ hari-kathāmṛtam
10.1.14.1,sūta uvāca
10.1.15.1,śrī-śuka uvāca
10.1.16.1,vāsudeva-kathā-praśnaḥ
10.1.16.2,puruṣāṁs trīn punāti hi
10.1.16.3,vaktāraṁ pracchakaṁ śrotṝṁs
10.1.16.4,tat-pāda-salilaṁ yathā
10.1.17.1,bhūmir dṛpta-nṛpa-vyāja-
10.1.17.2,daityānīka-śatāyutaiḥ
10.1.17.3,ākrāntā bhūri-bhāreṇa
10.1.17.4,brahmāṇaṁ śaraṇaṁ yayau
10.1.18.1,gaur bhūtvāśru-mukhī khinnā
10.1.18.2,krandantī karuṇaṁ vibhoḥ
10.1.18.3,upasthitāntike tasmai
10.1.18.4,vyasanaṁ samavocata
10.1.19.1,brahmā tad-upadhāryātha
10.1.19.2,saha devais tayā saha
10.1.19.3,jagāma sa-tri-nayanas
10.1.19.4,tīraṁ kṣīra-payo-nidheḥ
10.1.20.1,tatra gatvā jagannāthaṁ
10.1.20.2,deva-devaṁ vṛṣākapim
10.1.20.3,puruṣaṁ puruṣa-sūktena
10.1.20.4,upatasthe samāhitaḥ
10.1.21.1,giraṁ samādhau gagane samīritāṁ
10.1.21.2,niśamya vedhās tridaśān uvāca ha
10.1.21.3,gāṁ pauruṣīṁ me śṛṇutāmarāḥ punar
10.1.21.4,vidhīyatām āśu tathaiva mā ciram
10.1.22.1,puraiva puṁsāvadhṛto dharā-jvaro
10.1.22.2,bhavadbhir aṁśair yaduṣūpajanyatām
10.1.22.3,sa yāvad urvyā bharam īśvareśvaraḥ
10.1.22.4,sva-kāla-śaktyā kṣapayaṁś cared bhuvi
10.1.23.1,vasudeva-gṛhe sākṣād
10.1.23.2,bhagavān puruṣaḥ paraḥ
10.1.23.3,janiṣyate tat-priyārthaṁ
10.1.23.4,sambhavantu sura-striyaḥ
10.1.24.1,vāsudeva-kalānantaḥ
10.1.24.2,sahasra-vadanaḥ svarāṭ
10.1.24.3,agrato bhavitā devo
10.1.24.4,hareḥ priya-cikīrṣayā
10.1.25.1,viṣṇor māyā bhagavatī
10.1.25.2,yayā sammohitaṁ jagat
10.1.25.3,ādiṣṭā prabhuṇāṁśena
10.1.25.4,kāryārthe sambhaviṣyati
10.1.26.1,śrī-śuka uvāca
10.1.27.1,śūraseno yadupatir
10.1.27.2,mathurām āvasan purīm
10.1.27.3,māthurāñ chūrasenāṁś ca
10.1.27.4,viṣayān bubhuje purā
10.1.28.1,rājadhānī tataḥ sābhūt
10.1.28.2,sarva-yādava-bhūbhujām
10.1.28.3,mathurā bhagavān yatra
10.1.28.4,nityaṁ sannihito hariḥ
10.1.29.1,tasyāṁ tu karhicic chaurir
10.1.29.2,vasudevaḥ kṛtodvahaḥ
10.1.29.3,devakyā sūryayā sārdhaṁ
10.1.29.4,prayāṇe ratham āruhat
10.1.30.1,ugrasena-sutaḥ kaṁsaḥ
10.1.30.2,svasuḥ priya-cikīrṣayā
10.1.30.3,raśmīn hayānāṁ jagrāha
10.1.30.4,raukmai ratha-śatair vṛtaḥ
10.1.31-32.1,catuḥ-śataṁ pāribarhaṁ
10.1.31-32.2,gajānāṁ hema-mālinām
10.1.31-32.3,aśvānām ayutaṁ sārdhaṁ
10.1.31-32.4,rathānāṁ ca tri-ṣaṭ-śatam
10.1.33.1,śaṅkha-tūrya-mṛdaṅgāś ca
10.1.33.2,nedur dundubhayaḥ samam
10.1.33.3,prayāṇa-prakrame tāta
10.1.33.4,vara-vadhvoḥ sumaṅgalam
10.1.34.1,pathi pragrahiṇaṁ kaṁsam
10.1.34.2,ābhāṣyāhāśarīra-vāk
10.1.34.3,asyās tvām aṣṭamo garbho
10.1.34.4,hantā yāṁ vahase ’budha
10.1.35.1,ity uktaḥ sa khalaḥ pāpo
10.1.35.2,bhojānāṁ kula-pāṁsanaḥ
10.1.35.3,bhaginīṁ hantum ārabdhaḥ
10.1.35.4,khaḍga-pāṇiḥ kace ’grahīt
10.1.36.1,taṁ jugupsita-karmāṇaṁ
10.1.36.2,nṛśaṁsaṁ nirapatrapam
10.1.36.3,vasudevo mahā-bhāga
10.1.36.4,uvāca parisāntvayan
10.1.37.1,śrī-vasudeva uvāca
10.1.38.1,mṛtyur janmavatāṁ vīra
10.1.38.2,dehena saha jāyate
10.1.38.3,adya vābda-śatānte vā
10.1.38.4,mṛtyur vai prāṇināṁ dhruvaḥ
10.1.39.1,dehe pañcatvam āpanne
10.1.39.2,dehī karmānugo ’vaśaḥ
10.1.39.3,dehāntaram anuprāpya
10.1.39.4,prāktanaṁ tyajate vapuḥ
10.1.40.1,vrajaṁs tiṣṭhan padaikena
10.1.40.2,yathaivaikena gacchati
10.1.40.3,yathā tṛṇa-jalaukaivaṁ
10.1.40.4,dehī karma-gatiṁ gataḥ
10.1.41.1,svapne yathā paśyati deham īdṛśaṁ
10.1.41.2,manorathenābhiniviṣṭa-cetanaḥ
10.1.41.3,dṛṣṭa-śrutābhyāṁ manasānucintayan
10.1.41.4,prapadyate tat kim api hy apasmṛtiḥ
10.1.42.1,yato yato dhāvati daiva-coditaṁ
10.1.42.2,mano vikārātmakam āpa pañcasu
10.1.42.3,guṇeṣu māyā-raciteṣu dehy asau
10.1.42.4,prapadyamānaḥ saha tena jāyate
10.1.43.1,jyotir yathaivodaka-pārthiveṣv adaḥ
10.1.43.2,samīra-vegānugataṁ vibhāvyate
10.1.43.3,evaṁ sva-māyā-raciteṣv asau pumān
10.1.43.4,guṇeṣu rāgānugato vimuhyati
10.1.44.1,tasmān na kasyacid droham
10.1.44.2,ācaret sa tathā-vidhaḥ
10.1.44.3,ātmanaḥ kṣemam anvicchan
10.1.44.4,drogdhur vai parato bhayam
10.1.45.1,eṣā tavānujā bālā
10.1.45.2,kṛpaṇā putrikopamā
10.1.45.3,hantuṁ nārhasi kalyāṇīm
10.1.45.4,imāṁ tvaṁ dīna-vatsalaḥ
10.1.46.1,śrī-śuka uvāca
10.1.47.1,nirbandhaṁ tasya taṁ jñātvā
10.1.47.2,vicintyānakadundubhiḥ
10.1.47.3,prāptaṁ kālaṁ prativyoḍhum
10.1.47.4,idaṁ tatrānvapadyata
10.1.48.1,mṛtyur buddhimatāpohyo
10.1.48.2,yāvad buddhi-balodayam
10.1.48.3,yady asau na nivarteta
10.1.48.4,nāparādho ’sti dehinaḥ
10.1.49-50.1,pradāya mṛtyave putrān
10.1.49-50.2,mocaye kṛpaṇām imām
10.1.49-50.3,sutā me yadi jāyeran
10.1.49-50.4,mṛtyur vā na mriyeta cet
10.1.51.1,agner yathā dāru-viyoga-yogayor
10.1.51.2,adṛṣṭato ’nyan na nimittam asti
10.1.51.3,evaṁ hi jantor api durvibhāvyaḥ
10.1.51.4,śarīra-saṁyoga-viyoga-hetuḥ
10.1.52.1,evaṁ vimṛśya taṁ pāpaṁ
10.1.52.2,yāvad-ātmani-darśanam
10.1.52.3,pūjayām āsa vai śaurir
10.1.52.4,bahu-māna-puraḥsaram
10.1.53.1,prasanna-vadanāmbhojo
10.1.53.2,nṛśaṁsaṁ nirapatrapam
10.1.53.3,manasā dūyamānena
10.1.53.4,vihasann idam abravīt
10.1.54.1,śrī-vasudeva uvāca
10.1.55.1,śrī-śuka uvāca
10.1.56.1,atha kāla upāvṛtte
10.1.56.2,devakī sarva-devatā
10.1.56.3,putrān prasuṣuve cāṣṭau
10.1.56.4,kanyāṁ caivānuvatsaram
10.1.57.1,kīrtimantaṁ prathamajaṁ
10.1.57.2,kaṁsāyānakadundubhiḥ
10.1.57.3,arpayām āsa kṛcchreṇa
10.1.57.4,so ’nṛtād ativihvalaḥ
10.1.58.1,kiṁ duḥsahaṁ nu sādhūnāṁ
10.1.58.2,viduṣāṁ kim apekṣitam
10.1.58.3,kim akāryaṁ kadaryāṇāṁ
10.1.58.4,dustyajaṁ kiṁ dhṛtātmanām
10.1.59.1,dṛṣṭvā samatvaṁ tac chaureḥ
10.1.59.2,satye caiva vyavasthitim
10.1.59.3,kaṁsas tuṣṭa-manā rājan
10.1.59.4,prahasann idam abravīt
10.1.60.1,pratiyātu kumāro ’yaṁ
10.1.60.2,na hy asmād asti me bhayam
10.1.60.3,aṣṭamād yuvayor garbhān
10.1.60.4,mṛtyur me vihitaḥ kila
10.1.61.1,tatheti sutam ādāya
10.1.61.2,yayāv ānakadundubhiḥ
10.1.61.3,nābhyanandata tad-vākyam
10.1.61.4,asato ’vijitātmanaḥ
10.1.62-63.1,nandādyā ye vraje gopā
10.1.62-63.2,yāś cāmīṣāṁ ca yoṣitaḥ
10.1.62-63.3,vṛṣṇayo vasudevādyā
10.1.62-63.4,devaky-ādyā yadu-striyaḥ
10.1.64.1,etat kaṁsāya bhagavāñ
10.1.64.2,chaśaṁsābhyetya nāradaḥ
10.1.64.3,bhūmer bhārāyamāṇānāṁ
10.1.64.4,daityānāṁ ca vadhodyamam
10.1.65-66.1,ṛṣer vinirgame kaṁso
10.1.65-66.2,yadūn matvā surān iti
10.1.65-66.3,devakyā garbha-sambhūtaṁ
10.1.65-66.4,viṣṇuṁ ca sva-vadhaṁ prati
10.1.67.1,mātaraṁ pitaraṁ bhrātṝn
10.1.67.2,sarvāṁś ca suhṛdas tathā
10.1.67.3,ghnanti hy asutṛpo lubdhā
10.1.67.4,rājānaḥ prāyaśo bhuvi
10.1.68.1,ātmānam iha sañjātaṁ
10.1.68.2,jānan prāg viṣṇunā hatam
10.1.68.3,mahāsuraṁ kālanemiṁ
10.1.68.4,yadubhiḥ sa vyarudhyata
10.1.69.1,ugrasenaṁ ca pitaraṁ
10.1.69.2,yadu-bhojāndhakādhipam
10.1.69.3,svayaṁ nigṛhya bubhuje
10.1.69.4,śūrasenān mahā-balaḥ
10.2.1-2.1,śrī-śuka uvāca
10.2.3.1,te pīḍitā niviviśuḥ
10.2.3.2,kuru-pañcāla-kekayān
10.2.3.3,śālvān vidarbhān niṣadhān
10.2.3.4,videhān kośalān api
10.2.4-5.1,eke tam anurundhānā
10.2.4-5.2,jñātayaḥ paryupāsate
10.2.4-5.3,hateṣu ṣaṭsu bāleṣu
10.2.4-5.4,devakyā augraseninā
10.2.6.1,bhagavān api viśvātmā
10.2.6.2,viditvā kaṁsajaṁ bhayam
10.2.6.3,yadūnāṁ nija-nāthānāṁ
10.2.6.4,yoga-māyāṁ samādiśat
10.2.7.1,gaccha devi vrajaṁ bhadre
10.2.7.2,gopa-gobhir alaṅkṛtam
10.2.7.3,rohiṇī vasudevasya
10.2.7.4,bhāryāste nanda-gokule
10.2.7.5,anyāś ca kaṁsa-saṁvignā
10.2.7.6,vivareṣu vasanti hi
10.2.8.1,devakyā jaṭhare garbhaṁ
10.2.8.2,śeṣākhyaṁ dhāma māmakam
10.2.8.3,tat sannikṛṣya rohiṇyā
10.2.8.4,udare sanniveśaya
10.2.9.1,athāham aṁśa-bhāgena
10.2.9.2,devakyāḥ putratāṁ śubhe
10.2.9.3,prāpsyāmi tvaṁ yaśodāyāṁ
10.2.9.4,nanda-patnyāṁ bhaviṣyasi
10.2.10.1,arciṣyanti manuṣyās tvāṁ
10.2.10.2,sarva-kāma-vareśvarīm
10.2.10.3,dhūpopahāra-balibhiḥ
10.2.10.4,sarva-kāma-vara-pradām
10.2.11-12.1,nāmadheyāni kurvanti
10.2.11-12.2,sthānāni ca narā bhuvi
10.2.11-12.3,durgeti bhadrakālīti
10.2.11-12.4,vijayā vaiṣṇavīti ca
10.2.13.1,garbha-saṅkarṣaṇāt taṁ vai
10.2.13.2,prāhuḥ saṅkarṣaṇaṁ bhuvi
10.2.13.3,rāmeti loka-ramaṇād
10.2.13.4,balabhadraṁ balocchrayāt
10.2.14.1,sandiṣṭaivaṁ bhagavatā
10.2.14.2,tathety om iti tad-vacaḥ
10.2.14.3,pratigṛhya parikramya
10.2.14.4,gāṁ gatā tat tathākarot
10.2.15.1,garbhe praṇīte devakyā
10.2.15.2,rohiṇīṁ yoga-nidrayā
10.2.15.3,aho visraṁsito garbha
10.2.15.4,iti paurā vicukruśuḥ
10.2.16.1,bhagavān api viśvātmā
10.2.16.2,bhaktānām abhayaṅkaraḥ
10.2.16.3,āviveśāṁśa-bhāgena
10.2.16.4,mana ānakadundubheḥ
10.2.17.1,sa bibhrat pauruṣaṁ dhāma
10.2.17.2,bhrājamāno yathā raviḥ
10.2.17.3,durāsado ’tidurdharṣo
10.2.17.4,bhūtānāṁ sambabhūva ha
10.2.18.1,tato jagan-maṅgalam acyutāṁśaṁ
10.2.18.2,samāhitaṁ śūra-sutena devī
10.2.18.3,dadhāra sarvātmakam ātma-bhūtaṁ
10.2.18.4,kāṣṭhā yathānanda-karaṁ manastaḥ
10.2.19.1,sā devakī sarva-jagan-nivāsa-
10.2.19.2,nivāsa-bhūtā nitarāṁ na reje
10.2.19.3,bhojendra-gehe ’gni-śikheva ruddhā
10.2.19.4,sarasvatī jñāna-khale yathā satī
10.2.20.1,tāṁ vīkṣya kaṁsaḥ prabhayājitāntarāṁ
10.2.20.2,virocayantīṁ bhavanaṁ śuci-smitām
10.2.20.3,āhaiṣa me prāṇa-haro harir guhāṁ
10.2.20.4,dhruvaṁ śrito yan na pureyam īdṛśī
10.2.21.1,kim adya tasmin karaṇīyam āśu me
10.2.21.2,yad artha-tantro na vihanti vikramam
10.2.21.3,striyāḥ svasur gurumatyā vadho ’yaṁ
10.2.21.4,yaśaḥ śriyaṁ hanty anukālam āyuḥ
10.2.22.1,sa eṣa jīvan khalu sampareto
10.2.22.2,varteta yo ’tyanta-nṛśaṁsitena
10.2.22.3,dehe mṛte taṁ manujāḥ śapanti
10.2.22.4,gantā tamo ’ndhaṁ tanu-mānino dhruvam
10.2.23.1,iti ghoratamād bhāvāt
10.2.23.2,sannivṛttaḥ svayaṁ prabhuḥ
10.2.23.3,āste pratīkṣaṁs taj-janma
10.2.23.4,harer vairānubandha-kṛt
10.2.24.1,āsīnaḥ saṁviśaṁs tiṣṭhan
10.2.24.2,bhuñjānaḥ paryaṭan mahīm
10.2.24.3,cintayāno hṛṣīkeśam
10.2.24.4,apaśyat tanmayaṁ jagat
10.2.25.1,brahmā bhavaś ca tatraitya
10.2.25.2,munibhir nāradādibhiḥ
10.2.25.3,devaiḥ sānucaraiḥ sākaṁ
10.2.25.4,gīrbhir vṛṣaṇam aiḍayan
10.2.26.1,satya-vrataṁ satya-paraṁ tri-satyaṁ
10.2.26.2,satyasya yoniṁ nihitaṁ ca satye
10.2.26.3,satyasya satyam ṛta-satya-netraṁ
10.2.26.4,satyātmakaṁ tvāṁ śaraṇaṁ prapannāḥ
10.2.27.1,ekāyano ’sau dvi-phalas tri-mūlaś
10.2.27.2,catū-rasaḥ pañca-vidhaḥ ṣaḍ-ātmā
10.2.27.3,sapta-tvag aṣṭa-viṭapo navākṣo
10.2.27.4,daśa-cchadī dvi-khago hy ādi-vṛkṣaḥ
10.2.28.1,tvam eka evāsya sataḥ prasūtis
10.2.28.2,tvaṁ sannidhānaṁ tvam anugrahaś ca
