ids,sentences
2.1.invocation.1,oṁ namo bhagavate vāsudevāya
2.1.1.1,śrī-śuka uvāca
2.1.2.1,śrotavyādīni rājendra
2.1.2.2,nṛṇāṁ santi sahasraśaḥ
2.1.2.3,apaśyatām ātma-tattvaṁ
2.1.2.4,gṛheṣu gṛha-medhinām
2.1.3.1,nidrayā hriyate naktaṁ
2.1.3.2,vyavāyena ca vā vayaḥ
2.1.3.3,divā cārthehayā rājan
2.1.3.4,kuṭumba-bharaṇena vā
2.1.4.1,dehāpatya-kalatrādiṣv
2.1.4.2,ātma-sainyeṣv asatsv api
2.1.4.3,teṣāṁ pramatto nidhanaṁ
2.1.4.4,paśyann api na paśyati
2.1.5.1,tasmād bhārata sarvātmā
2.1.5.2,bhagavān īśvaro hariḥ
2.1.5.3,śrotavyaḥ kīrtitavyaś ca
2.1.5.4,smartavyaś cecchatābhayam
2.1.6.1,etāvān sāṅkhya-yogābhyāṁ
2.1.6.2,sva-dharma-pariniṣṭhayā
2.1.6.3,janma-lābhaḥ paraḥ puṁsām
2.1.6.4,ante nārāyaṇa-smṛtiḥ
2.1.7.1,prāyeṇa munayo rājan
2.1.7.2,nivṛttā vidhi-ṣedhataḥ
2.1.7.3,nairguṇya-sthā ramante sma
2.1.7.4,guṇānukathane hareḥ
2.1.8.1,idaṁ bhāgavataṁ nāma
2.1.8.2,purāṇaṁ brahma-sammitam
2.1.8.3,adhītavān dvāparādau
2.1.8.4,pitur dvaipāyanād aham
2.1.9.1,pariniṣṭhito ’pi nairguṇya
2.1.9.2,uttama-śloka-līlayā
2.1.9.3,gṛhīta-cetā rājarṣe
2.1.9.4,ākhyānaṁ yad adhītavān
2.1.10.1,tad ahaṁ te ’bhidhāsyāmi
2.1.10.2,mahā-pauruṣiko bhavān
2.1.10.3,yasya śraddadhatām āśu
2.1.10.4,syān mukunde matiḥ satī
2.1.11.1,etan nirvidyamānānām
2.1.11.2,icchatām akuto-bhayam
2.1.11.3,yogināṁ nṛpa nirṇītaṁ
2.1.11.4,harer nāmānukīrtanam
2.1.12.1,kiṁ pramattasya bahubhiḥ
2.1.12.2,parokṣair hāyanair iha
2.1.12.3,varaṁ muhūrtaṁ viditaṁ
2.1.12.4,ghaṭate śreyase yataḥ
2.1.13.1,khaṭvāṅgo nāma rājarṣir
2.1.13.2,jñātveyattām ihāyuṣaḥ
