ids,sentences
6.1.1.1,śrī-parīkṣid uvāca
6.1.2.1,pravṛtti-lakṣaṇaś caiva
6.1.2.2,traiguṇya-viṣayo mune
6.1.2.3,yo ’sāv alīna-prakṛter
6.1.2.4,guṇa-sargaḥ punaḥ punaḥ
6.1.3.1,adharma-lakṣaṇā nānā
6.1.3.2,narakāś cānuvarṇitāḥ
6.1.3.3,manvantaraś ca vyākhyāta
6.1.3.4,ādyaḥ svāyambhuvo yataḥ
6.1.4-5.1,priyavratottānapador
6.1.4-5.2,vaṁśas tac-caritāni ca
6.1.4-5.3,dvīpa-varṣa-samudrādri-
6.1.4-5.4,nady-udyāna-vanaspatīn
6.1.6.1,adhuneha mahā-bhāga
6.1.6.2,yathaiva narakān naraḥ
6.1.6.3,nānogra-yātanān neyāt
6.1.6.4,tan me vyākhyātum arhasi
6.1.7.1,śrī-śuka uvāca
6.1.8.1,tasmāt puraivāśv iha pāpa-niṣkṛtau
6.1.8.2,yateta mṛtyor avipadyatātmanā
6.1.8.3,doṣasya dṛṣṭvā guru-lāghavaṁ yathā
6.1.8.4,bhiṣak cikitseta rujāṁ nidānavit
6.1.9.1,śrī-rājovāca
6.1.10.1,kvacin nivartate ’bhadrāt
6.1.10.2,kvacic carati tat punaḥ
6.1.10.3,prāyaścittam atho ’pārthaṁ
6.1.10.4,manye kuñjara-śaucavat
6.1.11.1,śrī-bādarāyaṇir uvāca
6.1.12.1,nāśnataḥ pathyam evānnaṁ
6.1.12.2,vyādhayo ’bhibhavanti hi
6.1.12.3,evaṁ niyamakṛd rājan
6.1.12.4,śanaiḥ kṣemāya kalpate
6.1.13-14.1,tapasā brahmacaryeṇa
6.1.13-14.2,śamena ca damena ca
6.1.13-14.3,tyāgena satya-śaucābhyāṁ
6.1.13-14.4,yamena niyamena vā
6.1.15.1,kecit kevalayā bhaktyā
6.1.15.2,vāsudeva-parāyaṇāḥ
6.1.15.3,aghaṁ dhunvanti kārtsnyena
6.1.15.4,nīhāram iva bhāskaraḥ
6.1.16.1,na tathā hy aghavān rājan
6.1.16.2,pūyeta tapa-ādibhiḥ
6.1.16.3,yathā kṛṣṇārpita-prāṇas
6.1.16.4,tat-puruṣa-niṣevayā
6.1.17.1,sadhrīcīno hy ayaṁ loke
6.1.17.2,panthāḥ kṣemo ’kuto-bhayaḥ
6.1.17.3,suśīlāḥ sādhavo yatra
6.1.17.4,nārāyaṇa-parāyaṇāḥ
6.1.18.1,prāyaścittāni cīrṇāni
6.1.18.2,nārāyaṇa-parāṅmukham
6.1.18.3,na niṣpunanti rājendra
6.1.18.4,surā-kumbham ivāpagāḥ
6.1.19.1,sakṛn manaḥ kṛṣṇa-padāravindayor
6.1.19.2,niveśitaṁ tad-guṇa-rāgi yair iha
6.1.19.3,na te yamaṁ pāśa-bhṛtaś ca tad-bhaṭān
6.1.19.4,svapne ’pi paśyanti hi cīrṇa-niṣkṛtāḥ
6.1.20.1,atra codāharantīmam
6.1.20.2,itihāsaṁ purātanam
6.1.20.3,dūtānāṁ viṣṇu-yamayoḥ
6.1.20.4,saṁvādas taṁ nibodha me
6.1.21.1,kānyakubje dvijaḥ kaścid
6.1.21.2,dāsī-patir ajāmilaḥ
6.1.21.3,nāmnā naṣṭa-sadācāro
6.1.21.4,dāsyāḥ saṁsarga-dūṣitaḥ
6.1.22.1,bandy-akṣaiḥ kaitavaiś cauryair
6.1.22.2,garhitāṁ vṛttim āsthitaḥ
6.1.22.3,bibhrat kuṭumbam aśucir
6.1.22.4,yātayām āsa dehinaḥ
6.1.23.1,evaṁ nivasatas tasya
6.1.23.2,lālayānasya tat-sutān
6.1.23.3,kālo ’tyagān mahān rājann
6.1.23.4,aṣṭāśītyāyuṣaḥ samāḥ
6.1.24.1,tasya pravayasaḥ putrā
6.1.24.2,daśa teṣāṁ tu yo ’vamaḥ
6.1.24.3,bālo nārāyaṇo nāmnā
6.1.24.4,pitroś ca dayito bhṛśam
6.1.25.1,sa baddha-hṛdayas tasminn
6.1.25.2,arbhake kala-bhāṣiṇi
6.1.25.3,nirīkṣamāṇas tal-līlāṁ
6.1.25.4,mumude jaraṭho bhṛśam
6.1.26.1,bhuñjānaḥ prapiban khādan
6.1.26.2,bālakaṁ sneha-yantritaḥ
6.1.26.3,bhojayan pāyayan mūḍho
6.1.26.4,na vedāgatam antakam
6.1.27.1,sa evaṁ vartamāno ’jño
6.1.27.2,mṛtyu-kāla upasthite
6.1.27.3,matiṁ cakāra tanaye
6.1.27.4,bāle nārāyaṇāhvaye
6.1.28-29.1,sa pāśa-hastāṁs trīn dṛṣṭvā
6.1.28-29.2,puruṣān ati-dāruṇān
6.1.28-29.3,vakra-tuṇḍān ūrdhva-romṇa
6.1.28-29.4,ātmānaṁ netum āgatān
6.1.30.1,niśamya mriyamāṇasya
6.1.30.2,mukhato hari-kīrtanam
6.1.30.3,bhartur nāma mahārāja
6.1.30.4,pārṣadāḥ sahasāpatan
6.1.31.1,vikarṣato ’ntar hṛdayād
6.1.31.2,dāsī-patim ajāmilam
6.1.31.3,yama-preṣyān viṣṇudūtā
6.1.31.4,vārayām āsur ojasā
6.1.32.1,ūcur niṣedhitās tāṁs te
6.1.32.2,vaivasvata-puraḥsarāḥ
6.1.32.3,ke yūyaṁ pratiṣeddhāro
6.1.32.4,dharma-rājasya śāsanam
6.1.33.1,kasya vā kuta āyātāḥ
6.1.33.2,kasmād asya niṣedhatha
6.1.33.3,kiṁ devā upadevā yā
6.1.33.4,yūyaṁ kiṁ siddha-sattamāḥ
6.1.34-36.1,sarve padma-palāśākṣāḥ
6.1.34-36.2,pīta-kauśeya-vāsasaḥ
6.1.34-36.3,kirīṭinaḥ kuṇḍalino
6.1.34-36.4,lasat-puṣkara-mālinaḥ
6.1.37.1,śrī-śuka uvāca
6.1.38.1,śrī-viṣṇudūtā ūcuḥ
6.1.39.1,kathaṁ svid dhriyate daṇḍaḥ
6.1.39.2,kiṁ vāsya sthānam īpsitam
6.1.39.3,daṇḍyāḥ kiṁ kāriṇaḥ sarve
6.1.39.4,āho svit katicin nṛṇām
6.1.41.1,yena sva-dhāmny amī bhāvā
6.1.41.2,rajaḥ-sattva-tamomayāḥ
6.1.41.3,guṇa-nāma-kriyā-rūpair
6.1.41.4,vibhāvyante yathā-tatham
6.1.42.1,sūryo ’gniḥ khaṁ marud devaḥ
6.1.42.2,somaḥ sandhyāhanī diśaḥ
6.1.42.3,kaṁ kuḥ svayaṁ dharma iti
6.1.42.4,hy ete daihyasya sākṣiṇaḥ
6.1.43.1,etair adharmo vijñātaḥ
6.1.43.2,sthānaṁ daṇḍasya yujyate
6.1.43.3,sarve karmānurodhena
6.1.43.4,daṇḍam arhanti kāriṇaḥ
6.1.44.1,sambhavanti hi bhadrāṇi
6.1.44.2,viparītāni cānaghāḥ
6.1.44.3,kāriṇāṁ guṇa-saṅgo ’sti
6.1.44.4,dehavān na hy akarma-kṛt
6.1.45.1,yena yāvān yathādharmo
6.1.45.2,dharmo veha samīhitaḥ
6.1.45.3,sa eva tat-phalaṁ bhuṅkte
6.1.45.4,tathā tāvad amutra vai
6.1.46.1,yatheha deva-pravarās
6.1.46.2,trai-vidhyam upalabhyate
6.1.46.3,bhūteṣu guṇa-vaicitryāt
6.1.46.4,tathānyatrānumīyate
6.1.47.1,vartamāno ’nyayoḥ kālo
6.1.47.2,guṇābhijñāpako yathā
6.1.47.3,evaṁ janmānyayor etad
6.1.47.4,dharmādharma-nidarśanam
6.1.48.1,manasaiva pure devaḥ
6.1.48.2,pūrva-rūpaṁ vipaśyati
6.1.48.3,anumīmāṁsate ’pūrvaṁ
6.1.48.4,manasā bhagavān ajaḥ
6.1.49.1,yathājñas tamasā yukta
6.1.49.2,upāste vyaktam eva hi
6.1.49.3,na veda pūrvam aparaṁ
6.1.49.4,naṣṭa-janma-smṛtis tathā
6.1.50.1,pañcabhiḥ kurute svārthān
6.1.50.2,pañca vedātha pañcabhiḥ
6.1.50.3,ekas tu ṣoḍaśena trīn
6.1.50.4,svayaṁ saptadaśo ’śnute
6.1.51.1,tad etat ṣoḍaśa-kalaṁ
6.1.51.2,liṅgaṁ śakti-trayaṁ mahat
6.1.51.3,dhatte ’nusaṁsṛtiṁ puṁsi
6.1.51.4,harṣa-śoka-bhayārtidām
6.1.52.1,dehy ajño ’jita-ṣaḍ-vargo
6.1.52.2,necchan karmāṇi kāryate
6.1.52.3,kośakāra ivātmānaṁ
6.1.52.4,karmaṇācchādya muhyati
6.1.53.1,na hi kaścit kṣaṇam api
6.1.53.2,jātu tiṣṭhaty akarma-kṛt
6.1.53.3,kāryate hy avaśaḥ karma
6.1.53.4,guṇaiḥ svābhāvikair balāt
6.1.54.1,labdhvā nimittam avyaktaṁ
6.1.54.2,vyaktāvyaktaṁ bhavaty uta
6.1.54.3,yathā-yoni yathā-bījaṁ
6.1.54.4,svabhāvena balīyasā
6.1.55.1,eṣa prakṛti-saṅgena
6.1.55.2,puruṣasya viparyayaḥ
6.1.55.3,āsīt sa eva na cirād
6.1.55.4,īśa-saṅgād vilīyate
6.1.56-57.1,ayaṁ hi śruta-sampannaḥ
6.1.56-57.2,śīla-vṛtta-guṇālayaḥ
6.1.56-57.3,dhṛta-vrato mṛdur dāntaḥ
6.1.56-57.4,satya-vāṅ mantra-vic chuciḥ
6.1.58-60.1,ekadāsau vanaṁ yātaḥ
6.1.58-60.2,pitṛ-sandeśa-kṛd dvijaḥ
6.1.58-60.3,ādāya tata āvṛttaḥ
6.1.58-60.4,phala-puṣpa-samit-kuśān
6.1.61.1,dṛṣṭvā tāṁ kāma-liptena
6.1.61.2,bāhunā parirambhitām
6.1.61.3,jagāma hṛc-chaya-vaśaṁ
6.1.61.4,sahasaiva vimohitaḥ
6.1.62.1,stambhayann ātmanātmānaṁ
